row_label_raw,row_label_full,Ngày phát hành 31 tháng 12 năm 2021,200.000.000.000,Ngày 31 tháng 12 năm 2025,Bổ sung vốn lưu động,6.000.000 cổ phiếu DXS,numeric__200.000.000.000,numeric__Ngày 31 tháng 12 năm 2025,numeric__Bổ sung vốn lưu động,numeric__6.000.000 cổ phiếu DXS
Chi phí phát hành trái phiếu chưa phân bổ,Chi phí phát hành trái phiếu chưa phân bổ,Chi phí phát hành trái phiếu chưa phân bổ,(458.352.269),,,,-458352269.0,,,
,,,199.541.647.731,,,,199541647731.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,568.616.647.731,,,,568616647731.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạnđến hạn trả,Trong đó: > Vay dài hạnđến hạn trả,Vay dài hạnđến hạn trả,369.075.000.000,,,,369075000000.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,199.541.647.731,,,,199541647731.0,,,
