row_label_raw,row_label_full,col_0,Phương tiênvận tải,Thiết bịvăn phòng,Tài sâncó định khác,VNDTổng cộng,numeric__Phương tiênvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sâncó định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,15.167.660.989,10.389.328.878,965.494.220,26.522.484.087,15167660989.0,10389328878.0,965494220.0,26522484087.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,262.165.456,-,262.165.456,,262165456.0,,262165456.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(1.526.736.364),(176.639.157),-,(1.703.375.521),-1526736364.0,-176639157.0,,-1703375521.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,13.640.924.625,10.474.855.177,965.494.220,25.081.274.022,13640924625.0,10474855177.0,965494220.0,25081274022.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,3.475.577.351,7.610.670.267,688.630.584,11.774.878.202,3475577351.0,7610670267.0,688630584.0,11774878202.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(9.198.515.923),(8.604.098.934),(826.038.414),(18.628.653.271),-9198515923.0,-8604098934.0,-826038414.0,-18628653271.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.598.294.518),(891.314.273),(70.846.229),(2.560.455.020),-1598294518.0,-891314273.0,-70846229.0,-2560455020.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,1.206.736.372,176.639.157,-,1.383.375.529,1206736372.0,176639157.0,,1383375529.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(9.590.074.069),(9.318.774.050),(896.884.643),(19.805.732.762),-9590074069.0,-9318774050.0,-896884643.0,-19805732762.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,5.969.145.066,1.785.229.944,139.455.806,7.893.830.816,5969145066.0,1785229944.0,139455806.0,7893830816.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,4.050.850.556,1.156.081.127,68.609.577,5.275.541.260,4050850556.0,1156081127.0,68609577.0,5275541260.0
