row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,,
Hà An,Phải trả khác > Hà An,Hà An,Công ty con,Nhận ký quỹ,3.206.950.000.000,2.001.950.000.000,,,3206950000000.0,2001950000000.0
Sài Gòn,Phải trả khác > Sài Gòn,Sài Gòn,Công ty con,Vốn nhận tử HĐHTKD,350.308.642.030,382.308.642.030,,,350308642030.0,382308642030.0
Riverside,Riverside,Riverside,,,,,,,,
Hội An Invest,Riverside > Hội An Invest,Hội An Invest,Công ty con,Lãi vay,158.016.398.629,71.037.821.916,,,158016398629.0,71037821916.0
,,,,Vốn nhận tử HĐHTKD,-,499.526.000.000,,,,499526000000.0
Vidoland,Riverside > Vidoland,Vidoland,Công ty con,Vốn nhận tử HĐHTKD,121.121.039.416,121.171.039.416,,,121121039416.0,121171039416.0
Dầu Khí Thăng Long,Riverside > Dầu Khí Thăng Long,Dầu Khí Thăng Long,Công ty con,Vốn nhận tử HĐHTKD,112.489.220.930,112.579.220.930,,,112489220930.0,112579220930.0
Phước Sơn,Riverside > Phước Sơn,Phước Sơn,Công ty con,Lãi vay,64.800.000.000,3.669.041.096,,,64800000000.0,3669041096.0
Đất Xanh Miền Nam,Riverside > Đất Xanh Miền Nam,Đất Xanh Miền Nam,Công ty con,Vốn nhận tử HĐHTKD,7.366.596.913,7.366.596.913,,,7366596913.0,7366596913.0
,,,,Nhận ký quỹ,100.000.000,100.000.000,,,100000000.0,100000000.0
Hà Thuận Hùng,Riverside > Hà Thuận Hùng,Hà Thuận Hùng,Công ty con,Thu hộ tiền dự án,2.911.174.538,2.911.174.538,,,2911174538.0,2911174538.0
DXS,Riverside > DXS,DXS,Công ty con,Thu hộ tiền dự án,2.480.489.982,2.461.012.482,,,2480489982.0,2461012482.0
Xuân Định,Riverside > Xuân Định,Xuân Định,Công ty con,Vốn nhận tử HĐHTKD,-,131.056.646.990,,,,131056646990.0
In Nông Nghiệp,Riverside > In Nông Nghiệp,In Nông Nghiệp,Công ty con,Vốn nhận tử HĐHTKD,-,11.151.483.696,,,,11151483696.0
Khác,Riverside > Khác,Khác,Bên liên quan,Khác,2.677.431.545,2.627.431.545,,,2677431545.0,2627431545.0
,,,,,4.029.220.993.983,3.349.916.111.552,,,4029220993983.0,3349916111552.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Hà An,Vay ngắn hạn > Hà An,Hà An,Công ty con,Vay,1.080.000.000.000,-,,,1080000000000.0,
Hội An Invest,Vay ngắn hạn > Hội An Invest,Hội An Invest,Công ty con,Vay,207.275.000.000,1.087.000.000.000,,,207275000000.0,1087000000000.0
Phước Sơn,Vay ngắn hạn > Phước Sơn,Phước Sơn,Công ty con,Vay,-,1.080.000.000.000,,,,1080000000000.0
,,,,,1.287.275.000.000,2.167.000.000.000,,,1287275000000.0,2167000000000.0
