row_label_raw,row_label_full,Ông Lương Trí Thìn,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Nguyễn Phạm Anh Tài,Ông Nguyễn Phạm Anh Tài,Ông Nguyễn Phạm Anh Tài,Thành viên độc lập,bỗ nhiệm ngày 28 tháng 5 năm 2022,,
Ông Trần Việt Anh,Ông Trần Việt Anh,Ông Trần Việt Anh,Thành viên độc lập,từ nhiệm ngày 18 tháng 3 năm 2022,,
Ông Bùi Ngọc Đức,Ông Bùi Ngọc Đức,Ông Bùi Ngọc Đức,Thành viên,,,
Ông Hà Đức Hiếu,Ông Hà Đức Hiếu,Ông Hà Đức Hiếu,Thành viên,,,
Bà Đỗ Thị Thái,Bà Đỗ Thị Thái,Bà Đỗ Thị Thái,Thành viên,,,
