row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,9.027.615.092,7.572.910.659,9027615092.0,7572910659.0
- Các khoản phải trả nhân viên,- Các khoản phải trả nhân viên,- Các khoản phải trả nhân viên,9.027.615.092,7.572.910.659,9027615092.0,7572910659.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,3.100.385.457.870,1.771.324.146.737,3100385457870.0,1771324146737.0
- Phải trả dịch vụ thanh toán,- Phải trả dịch vụ thanh toán,- Phải trả dịch vụ thanh toán,2.434.773.455.667,1.137.868.826.552,2434773455667.0,1137868826552.0
- Thuế phải trả,- Thuế phải trả,- Thuế phải trả,403.120.884.462,383.907.642.105,403120884462.0,383907642105.0
- Phải trả dịch vụ kiểu hối,- Phải trả dịch vụ kiểu hối,- Phải trả dịch vụ kiểu hối,45.065.141.606,83.391.999.062,45065141606.0,83391999062.0
- Tiền giữ hộ và đợi thanh toán,- Tiền giữ hộ và đợi thanh toán,- Tiền giữ hộ và đợi thanh toán,33.915.089.345,16.675.952.346,33915089345.0,16675952346.0
- Cổ tức phải trả,- Cổ tức phải trả,- Cổ tức phải trả,18.025.379.195,18.033.112.575,18025379195.0,18033112575.0
- Doanh thu chờ phân bổ,- Doanh thu chờ phân bổ,- Doanh thu chờ phân bổ,-,87.900.000,,87900000.0
- Các khoản phải trả khác,- Các khoản phải trả khác,- Các khoản phải trả khác,165.485.507.595,131.358.714.097,165485507595.0,131358714097.0
Quỹ khen thưởng phúc lợi (*),Quỹ khen thưởng phúc lợi (*),Quỹ khen thưởng phúc lợi (*),102.424.213.974,67.110.004.614,102424213974.0,67110004614.0
,,,3.211.837.286.936,1.846.007.062.010,3211837286936.0,1846007062010.0
