row_label_raw,row_label_full,col_0,Giá trị ghi số > Kinh doanh VND,Giá trị ghi số > Cho vay và phải thu VND,Giá trị ghi số > Sản sàng để bán VND,Giá trị ghi số > Tài sản/(Công nợ) khác hạch toán theo giá trị phân bổ VND,Giá trị ghi số > Tổng cộng giá trị ghi số VND,Giá trị ghi số > Giá trị hợp lý,numeric__Giá trị ghi số > Kinh doanh VND,numeric__Giá trị ghi số > Cho vay và phải thu VND,numeric__Giá trị ghi số > Sản sàng để bán VND,numeric__Giá trị ghi số > Tài sản/(Công nợ) khác hạch toán theo giá trị phân bổ VND,numeric__Giá trị ghi số > Tổng cộng giá trị ghi số VND,numeric__Giá trị ghi số > Giá trị hợp lý
Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,Các tài sản tài chính,,,,,,
"Tiền mặt, vàng bạc, đá quý","Các tài sản tài chính > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,-,793.464.354.495,793.464.354.495,793.464.354.495,,,,793464354495.0,793464354495.0,793464354495.0
Tiền gửi tại NHNN,Các tài sản tài chính > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,3.225.386.957.711,3.225.386.957.711,3.225.386.957.711,,,,3225386957711.0,3225386957711.0,3225386957711.0
"Tiền gửi và cấp tin dụng cho các tổ chức tài chính, các TCTD khác","Các tài sản tài chính > Tiền gửi và cấp tin dụng cho các tổ chức tài chính, các TCTD khác","Tiền gửi và cấp tin dụng cho các tổ chức tài chính, các TCTD khác",-,2.210.030.177.293,-,18.426.225.031.606,20.636.255.208.899,(*),,2210030177293.0,,18426225031606.0,20636255208899.0,
Chứng khoán kinh doanh - gộp,Các tài sản tài chính > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,142.837.500.000,-,-,-,142.837.500.000,(*),142837500000.0,,,,142837500000.0,
Các công cụ tài chính phải sinh và tài sản tài chính khác,Các tài sản tài chính > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,-,-,-,360.044.007.067,360.044.007.067,(*),,,,360044007067.0,360044007067.0,
Cho vay khách hàng - gộp,Các tài sản tài chính > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,119.802.569.762.625,-,-,119.802.569.762.625,,,119802569762625.0,,,119802569762625.0,
Hoạt động mua nợ - gộp,Các tài sản tài chính > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,667.000.000,-,-,667.000.000,(*),,667000000.0,,,667000000.0,
Chứng khoán sẵn sàng để bán - gộp,Các tài sản tài chính > Chứng khoán sẵn sàng để bán - gộp,Chứng khoán sẵn sàng để bán - gộp,-,-,37.367.365.873.931,-,37.367.365.873.931,(*),,,37367365873931.0,,37367365873931.0,
Tài sản tài chính khác - gộp,Các tài sản tài chính > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,-,6.277.932.934.006,-,-,6.277.932.934.006,(*),,6277932934006.0,,,6277932934006.0,
,,,142.837.500.000,128.291.199.873.924,37.367.365.873.931,22.805.120.350.879,188.606.523.598.734,,142837500000.0,128291199873924.0,37367365873931.0,22805120350879.0,188606523598734.0,
Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,Các công nợ tài chính,,,,,,
Các khoản nợ Chính phủ và NHNN,Các công nợ tài chính > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,2.594.629.745.606,2.594.629.745.606,(*),,,,2594629745606.0,2594629745606.0,
"Tiền gửi và vay các tổ chức tài chính, các TCTD khác","Các công nợ tài chính > Tiền gửi và vay các tổ chức tài chính, các TCTD khác","Tiền gửi và vay các tổ chức tài chính, các TCTD khác",-,-,-,22.638.642.858.433,22.638.642.858.433,(*),,,,22638642858433.0,22638642858433.0,
Tiền gửi của khách hang,Các công nợ tài chính > Tiền gửi của khách hang,Tiền gửi của khách hang,-,-,-,102.203.189.310.223,102.203.189.310.223,(*),,,,102203189310223.0,102203189310223.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Các công nợ tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,3.168.474.390.481,3.168.474.390.481,,,,,3168474390481.0,3168474390481.0,
Phát hành giấy tờ có giá,Các công nợ tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,32.022.737.500.000,32.022.737.500.000,(*),,,,32022737500000.0,32022737500000.0,
Các khoản nợ tài chính khác,Các công nợ tài chính > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,6.094.324.663.117,6.094.324.663.117,(*),,,,6094324663117.0,6094324663117.0,
,,,-,-,-,168.721.998.467.860,168.721.998.467.860,,,,,168721998467860.0,168721998467860.0,
