row_label_raw,row_label_full,col_0,Thuyết minh,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Thuyết minh,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra,38,80.901.204.928.532,114.497.900.475.508,38.0,80901204928532.0,114497900475508.0
- Bảo lãnh vay vốn,- Bảo lãnh vay vốn,- Bảo lãnh vay vốn,,30.720.268.951,42.600.030.887,,30720268951.0,42600030887.0
- Cam kết giao dịch hối đoái,- Cam kết giao dịch hối đoái,- Cam kết giao dịch hối đoái,,66.176.116.111.944,94.030.596.340.407,,66176116111944.0,94030596340407.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,,379.375.922.149,697.191.073.518,,379375922149.0,697191073518.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,,380.196.244.471,697.472.268.945,,380196244471.0,697472268945.0
Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,,65.416.543.945.324,92.635.932.997.944,,65416543945324.0,92635932997944.0
- Cam kết trong nghiệp vụ L/C,- Cam kết trong nghiệp vụ L/C,- Cam kết trong nghiệp vụ L/C,,3.402.915.058.466,7.179.506.465.072,,3402915058466.0,7179506465072.0
- Bảo lãnh khác,- Bảo lãnh khác,- Bảo lãnh khác,,9.424.253.489.171,10.490.097.639.142,,9424253489171.0,10490097639142.0
- Các cam kết khác,- Các cam kết khác,- Các cam kết khác,,1.867.200.000.000,2.755.100.000.000,,1867200000000.0,2755100000000.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,39,3.247.291.248.287,2.369.027.389.535,39.0,3247291248287.0,2369027389535.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,40,7.794.649.149.386,7.189.711.674.470,40.0,7794649149386.0,7189711674470.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,41,31.352.810.601.975,36.215.870.961.499,41.0,31352810601975.0,36215870961499.0
,,,,123.295.955.928.180,160.272.510.501.012,,123295955928180.0,160272510501012.0
