row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay VND,Năm trước VND,numeric__Thuyết minh,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,26,14.067.732.085.064,11.720.101.268.150,26.0,14067732085064.0,11720101268150.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,27,(7.120.149.043.887),(5.954.516.274.613),27.0,-7120149043887.0,-5954516274613.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,6.947.583.041.177,5.765.584.993.537,,6947583041177.0,5765584993537.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,1.124.580.409.488,867.740.348.909,,1124580409488.0,867740348909.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(110.406.103.023),(83.239.622.627),,-110406103023.0,-83239622627.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,28,1.014.174.306.465,784.500.726.282,28.0,1014174306465.0,784500726282.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,145.113.883.664,99.732.528.303,29.0,145113883664.0,99732528303.0
(Lỗ)/lãi thuần từ mua bán chứng khoán kinh doanh,(Lỗ)/lãi thuần từ mua bán chứng khoán kinh doanh,(Lỗ)/lãi thuần từ mua bán chứng khoán kinh doanh,30,(77.265.017.750),123.818.226.554,30.0,-77265017750.0,123818226554.0
(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,31,(140.196.342.607),1.744.618.886.811,31.0,-140196342607.0,1744618886811.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,783.661.855.763,563.511.742.958,,783661855763.0,563511742958.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(139.500.228.447),(162.614.061.354),,-139500228447.0,-162614061354.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,32,644.161.627.316,400.897.681.604,32.0,644161627316.0,400897681604.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,8.533.571.498.265,8.919.153.043.091,,8533571498265.0,8919153043091.0
CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,33,(3.076.802.357.805),(2.402.923.565.171),33.0,-3076802357805.0,-2402923565171.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,5.456.769.140.460,6.516.229.477.920,,5456769140460.0,6516229477920.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(1.067.461.492.385),(997.676.515.651),,-1067461492385.0,-997676515651.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,4.389.307.648.075,5.518.552.962.269,,4389307648075.0,5518552962269.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,34,(879.589.703.439),(1.113.593.994.467),34.0,-879589703439.0,-1113593994467.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,34,(879.589.703.439),(1.113.593.994.467),34.0,-879589703439.0,-1113593994467.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,3.509.717.944.636,4.404.958.967.802,,3509717944636.0,4404958967802.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),25,2.540,3.185,25.0,2540.0,3185.0
