row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng - gộp VND,Tiền ký quỹ VND,Giá trị theo hợp đồng - thuần VND,numeric__Giá trị theo hợp đồng - gộp VND,numeric__Tiền ký quỹ VND,numeric__Giá trị theo hợp đồng - thuần VND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,52.767.301.000,10.167.270.113,42.600.030.887,52767301000.0,10167270113.0,42600030887.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,94.030.596.340.407,-,94.030.596.340.407,94030596340407.0,,94030596340407.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,697.191.073.518,-,697.191.073.518,697191073518.0,,697191073518.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,697.472.268.945,-,697.472.268.945,697472268945.0,,697472268945.0
Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,Cam kết giao dịch hoán đối,92.635.932.997.944,-,92.635.932.997.944,92635932997944.0,,92635932997944.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,7.226.184.517.301,46.678.052.229,7.179.506.465.072,7226184517301.0,46678052229.0,7179506465072.0
Cam kết đã được ngân hàng tài trợ thanh toán,Cam kết đã được ngân hàng tài trợ thanh toán,Cam kết đã được ngân hàng tài trợ thanh toán,4.837.694.464.021,-,4.837.694.464.021,4837694464021.0,,4837694464021.0
Cam kết chưa thực hiện,Cam kết chưa thực hiện,Cam kết chưa thực hiện,2.388.490.053.280,46.678.052.229,2.341.812.001.051,2388490053280.0,46678052229.0,2341812001051.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,10.990.896.318.550,500.798.679.408,10.490.097.639.142,10990896318550.0,500798679408.0,10490097639142.0
Cam kết khác,Cam kết khác,Cam kết khác,2.755.100.000.000,-,2.755.100.000.000,2755100000000.0,,2755100000000.0
,,,115.055.544.477.258,557.644.001.750,114.497.900.475.508,115055544477258.0,557644001750.0,114497900475508.0
