row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,37.367.365.873.931,40.980.428.800.914,37367365873931.0,40980428800914.0
Chứng khoán Nợ Trái phiếu Chính phủ,Chứng khoán Nợ Trái phiếu Chính phủ,Chứng khoán Nợ Trái phiếu Chính phủ,20.050.384.534.651,25.766.658.328.877,20050384534651.0,25766658328877.0
Chứng khoán Nợ do các tổ chức tín dụng khác trong nước phát hành,Chứng khoán Nợ do các tổ chức tín dụng khác trong nước phát hành,Chứng khoán Nợ do các tổ chức tín dụng khác trong nước phát hành,14.262.304.919.754,13.604.894.216.973,14262304919754.0,13604894216973.0
Chứng khoán Nợ do các tổ chức kinh tế trong nước phát hành,Chứng khoán Nợ do các tổ chức kinh tế trong nước phát hành,Chứng khoán Nợ do các tổ chức kinh tế trong nước phát hành,2.989.121.610.379,1.543.321.445.917,2989121610379.0,1543321445917.0
Chứng khoán Vốn Chứng khoán Vốn do các tổ chức tín dụng khác trong nước phát hành,Chứng khoán Vốn Chứng khoán Vốn do các tổ chức tín dụng khác trong nước phát hành,Chứng khoán Vốn Chứng khoán Vốn do các tổ chức tín dụng khác trong nước phát hành,14.236.945.147,14.236.945.147,14236945147.0,14236945147.0
Chứng khoán Vốn do các tổ chức kinh tế trong nước phát hành,Chứng khoán Vốn do các tổ chức kinh tế trong nước phát hành,Chứng khoán Vốn do các tổ chức kinh tế trong nước phát hành,51.317.864.000,51.317.864.000,51317864000.0,51317864000.0
Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,(34.261.047.882),(12.036.595.897),-34261047882.0,-12036595897.0
Dự phòng giảm giá (i),Dự phòng giảm giá (i),Dự phòng giảm giá (i),(11.842.635.808),(2.318.844.622),-11842635808.0,-2318844622.0
Dự phòng chung (ii),Dự phòng chung (ii),Dự phòng chung (ii),(22.418.412.074),(7.239.001.275),-22418412074.0,-7239001275.0
Dự phòng cụ thể (iii),Dự phòng cụ thể (iii),Dự phòng cụ thể (iii),-,(2.478.750.000),,-2478750000.0
,,,37.333.104.826.049,40.968.392.205.017,37333104826049.0,40968392205017.0
