row_label_raw,row_label_full,Tên,Chức vụ,Đơn vị tính: VNDThu nhập > Năm nay,Đơn vị tính: VNDThu nhập > Năm trước,numeric__Chức vụ,numeric__Đơn vị tính: VNDThu nhập > Năm nay,numeric__Đơn vị tính: VNDThu nhập > Năm trước
Ông Trịnh Văn Tuấn,Ông Trịnh Văn Tuấn,Ông Trịnh Văn Tuấn,Chủ tịch,15.066.118.000,13.683.466.000,,15066118000.0,13683466000.0
Ông Ito Takeshi,Ông Ito Takeshi,Ông Ito Takeshi,Thành viên,850.300.000,1.350.400.000,,850300000.0,1350400000.0
Ông Yoshizawa Toshiki,Ông Yoshizawa Toshiki,Ông Yoshizawa Toshiki,Thành viên,2.490.600.000,2.700.400.000,,2490600000.0,2700400000.0
Bà Trịnh Thị Mai Anh,Bà Trịnh Thị Mai Anh,Bà Trịnh Thị Mai Anh,Thành viên,2.970.400.000,2.700.400.000,,2970400000.0,2700400000.0
Ông Phạm Tri Nguyen,Ông Phạm Tri Nguyen,Ông Phạm Tri Nguyen,Thành viên độc lập,870.400.000,810.400.000,,870400000.0,810400000.0
Ông Bùi Minh Đức,Ông Bùi Minh Đức,Ông Bùi Minh Đức,Thành viên độc lập,870.400.000,810.400.000,,870400000.0,810400000.0
Ông Ngô Hà Bắc,Ông Ngô Hà Bắc,Ông Ngô Hà Bắc,Thành viên,2.170.400.000,2.310.400.000,,2170400000.0,2310400000.0
Ông Phan Trung,Ông Phan Trung,Ông Phan Trung,Thành viên,870.400.000,900.400.000,,870400000.0,900400000.0
Ông Nguyễn Đình Tùng,Ông Nguyễn Đình Tùng,Ông Nguyễn Đình Tùng,Tổng Giám đốc,12.486.510.400,11.303.341.500,,12486510400.0,11303341500.0
Các thành viên còn lại,Các thành viên còn lại,Các thành viên còn lại,,24.216.031.517,47.561.277.787,,24216031517.0,47561277787.0
,,,,62.861.559.917,84.130.885.287,,62861559917.0,84130885287.0
Thủ lao của các thành viên Ban kiểm soát:,Thủ lao của các thành viên Ban kiểm soát:,Thủ lao của các thành viên Ban kiểm soát:,Thủ lao của các thành viên Ban kiểm soát:,Thủ lao của các thành viên Ban kiểm soát:,Thủ lao của các thành viên Ban kiểm soát:,,,
,,,,Năm nay,Đơn vị tính: VNDNăm trước,,,
Thủ lao của các thành viên Ban kiểm soát,Thủ lao của các thành viên Ban kiểm soát: > Thủ lao của các thành viên Ban kiểm soát,Thủ lao của các thành viên Ban kiểm soát,,2.714.540.000,2.634.120.000,,2714540000.0,2634120000.0
