row_label_raw,row_label_full,col_0,Quà hạn,Quà hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng VND,numeric__Quà hạn,numeric__Quà hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng VND
,,,Trên 3 tháng VND,Đến 3 tháng VND,Đến 1 tháng VND,Từ 1 đến 3 tháng VND,Từ 3 đến 12 tháng VND,Từ 1 đến 5 năm VND,Trên 5 năm VND,Tổng cộng VND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,-,793.464.354.495,-,-,-,-,793.464.354.495,,,793464354495.0,,,,,793464354495.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,3.225.386.957.711,-,-,-,-,3.225.386.957.711,,,3225386957711.0,,,,,3225386957711.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,-,-,19.036.380.067.371,1.101.536.522.612,388.611.618.916,109.727.000.000,-,20.636.255.208.899,,,19036380067371.0,1101536522612.0,388611618916.0,109727000000.0,,20636255208899.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,-,-,142.837.500.000,-,-,142.837.500.000,,,,,142837500000.0,,,142837500000.0
Công cụ tài chính phải sinh,Tài sản > Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,-,-,172.506.599.136,177.897.655.000,9.639.752.931,-,-,360.044.007.067,,,172506599136.0,177897655000.0,9639752931.0,,,360044007067.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,1.592.912.508.661,1.068.940.032.823,5.172.032.162.391,6.377.607.173.785,15.807.725.408.085,26.704.773.249.727,63.079.246.227.153,119.803.236.762.625,1592912508661.0,1068940032823.0,5172032162391.0,6377607173785.0,15807725408085.0,26704773249727.0,63079246227153.0,119803236762625.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,-,1.851.322.539.162,10.121.535.285.671,5.997.911.758.759,19.396.596.290.339,37.367.365.873.931,,,,1851322539162.0,10121535285671.0,5997911758759.0,19396596290339.0,37367365873931.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,583.606.445.091,583.606.445.091,,,,,,,583606445091.0,583606445091.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,4.800.000.000,-,290.913.962.736,158.183.654.549,613.474.421.490,8.084.710.074.658,3.551.284.528.244,12.703.366.641.677,4800000000.0,,290913962736.0,158183654549.0,613474421490.0,8084710074658.0,3551284528244.0,12703366641677.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.597.712.508.661,1.068.940.032.823,28.690.684.103.840,9.666.547.545.108,27.083.823.987.093,40.897.122.083.144,86.610.733.490.827,195.615.563.751.496,1597712508661.0,1068940032823.0,28690684103840.0,9666547545108.0,27083823987093.0,40897122083144.0,86610733490827.0,195615563751496.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,1.288.876.469.848,1.194.457.160.351,111.296.115.407,-,-,2.594.629.745.606,,,1288876469848.0,1194457160351.0,111296115407.0,,,2594629745606.0
Tiền gửi của và vay từ các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,20.172.012.549.190,1.487.882.718.168,888.469.411.417,90.278.179.658,-,22.638.642.858.433,,,20172012549190.0,1487882718168.0,888469411417.0,90278179658.0,,22638642858433.0
"Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Tiền gửi của khách hàng Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,33.654.431.341.025,18.412.450.106.418,44.534.796.417.644,5.601.448.051.009,63.394.127,102.203.189.310.223,,,33654431341025.0,18412450106418.0,44534796417644.0,5601448051009.0,63394127.0,102203189310223.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,250.000.000,108.737.043.750,563.507.855.526,2.495.558.143.526,421.347.679,3.168.474.390.481,,,250000000.0,108737043750.0,563507855526.0,2495558143526.0,421347679.0,3168474390481.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,87.737.500.000,2.400.000.000.000,8.100.000.000.000,21.435.000.000.000,-,32.022.737.500.000,,,87737500000.0,2400000000000.0,8100000000000.0,21435000000000.0,,32022737500000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,618.600.661.118,688.951.442.353,4.040.714.661.463,746.057.453.276,444.907,6.094.324.663.117,,,618600661118.0,688951442353.0,4040714661463.0,746057453276.0,444907.0,6094324663117.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,55.821.908.521.181,24.292.478.471.040,58.238.784.461.457,30.368.341.827.469,485.186.713,168.721.998.467.860,,,55821908521181.0,24292478471040.0,58238784461457.0,30368341827469.0,485186713.0,168721998467860.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.597.712.508.661,1.068.940.032.823,(27.131.224.417.341),(14.625.930.925.932),(31.154.960.474.364),10.528.780.255.675,86.610.248.304.114,26.893.565.283.636,1597712508661.0,1068940032823.0,-27131224417341.0,-14625930925932.0,-31154960474364.0,10528780255675.0,86610248304114.0,26893565283636.0
