row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,783.661.855.763,563.511.742.958,783661855763.0,563511742958.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,351.078.636.811,133.087.089.496,351078636811.0,133087089496.0
Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,97.080.480.377,51.696.747.553,97080480377.0,51696747553.0
Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,Thu từ hoạt động kinh doanh khác,82.816.211.428,362.122.372.693,82816211428.0,362122372693.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,232.775.204,888.813.636,232775204.0,888813636.0
Thu khác,Thu khác,Thu khác,252.453.751.943,15.716.719.580,252453751943.0,15716719580.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(139.500.228.447),(162.614.061.354),-139500228447.0,-162614061354.0
Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(46.133.267.878),(83.112.270.688),-46133267878.0,-83112270688.0
Chi phí từ thanh lý tài sản,Chi phí từ thanh lý tài sản,Chi phí từ thanh lý tài sản,(595.784.581),(677.205.507),-595784581.0,-677205507.0
Chi khác,Chi khác,Chi khác,(92.771.175.988),(78.824.585.159),-92771175988.0,-78824585159.0
,,,644.161.627.316,400.897.681.604,644161627316.0,400897681604.0
