row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc VND",Máy móc thiết bị VND,Phương tiện vận chuyển VND,Tài sản cố định khác VND,Tổng cộng VND,"numeric__Nhà cửa, vật kiến trúc VND",numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư tại ngày 1 tháng 1 năm 2022,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,209.765.371.661,348.929.527.846,140.762.348.440,1.425.127.387,700.882.375.334,209765371661.0,348929527846.0,140762348440.0,1425127387.0,700882375334.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,10.965.112.388,16.647.982.179,6.922.880.000,407.000.000,34.942.974.567,10965112388.0,16647982179.0,6922880000.0,407000000.0,34942974567.0
Năng cấp trong năm,Nguyên giá > Năng cấp trong năm,Năng cấp trong năm,-,1.240.512.786,-,-,1.240.512.786,,1240512786.0,,,1240512786.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,4.207.844.252,9.931.789.485,3.425.388.428,-,17.565.022.165,4207844252.0,9931789485.0,3425388428.0,,17565022165.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.038.189.900),(3.807.874.729),(1.204.759.798),-,(15.050.824.427),-10038189900.0,-3807874729.0,-1204759798.0,,-15050824427.0
Số dư tại ngày 31 tháng 12 năm 2022,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,214.900.138.401,372.941.937.567,149.905.857.070,1.832.127.387,739.580.060.425,214900138401.0,372941937567.0,149905857070.0,1832127387.0,739580060425.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số dư tại ngày 1 tháng 1 năm 2022,Giá trị khấu hao lũy kế > Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,93.529.349.040,219.799.541.441,101.002.686.239,1.425.127.387,415.756.704.107,93529349040.0,219799541441.0,101002686239.0,1425127387.0,415756704107.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.656.904.241,38.353.846.077,10.375.940.250,16.958.334,59.403.648.902,10656904241.0,38353846077.0,10375940250.0,16958334.0,59403648902.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(9.562.979.306),(3.687.300.742),(1.204.759.798),-,(14.455.039.846),-9562979306.0,-3687300742.0,-1204759798.0,,-14455039846.0
Số dư tại ngày 31 tháng 12 năm 2022,Giá trị khấu hao lũy kế > Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,94.623.273.975,254.466.086.776,110.173.866.691,1.442.085.721,460.705.313.163,94623273975.0,254466086776.0,110173866691.0,1442085721.0,460705313163.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư tại ngày 1 tháng 1 năm 2022,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,116.236.022.621,129.129.986.405,39.759.662.201,-,285.125.671.227,116236022621.0,129129986405.0,39759662201.0,,285125671227.0
Số dư tại ngày 31 tháng 12 năm 2022,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,120.276.864.426,118.475.850.791,39.731.990.379,390.041.666,278.874.747.262,120276864426.0,118475850791.0,39731990379.0,390041666.0,278874747262.0
