row_label_raw,row_label_full,col_0,Mức biến động tỷ giá,Ảnh hưởng đến lợi nhuận sau thuế VND,numeric__Mức biến động tỷ giá,numeric__Ảnh hưởng đến lợi nhuận sau thuế VND
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,
USD,Tại ngày 31 tháng 12 năm 2022 > USD,USD,-3%,12.289.390.160,-0.03,12289390160.0
USD,Tại ngày 31 tháng 12 năm 2022 > USD,USD,3%,(12.289.390.160),0.03,-12289390160.0
