row_label_raw,row_label_full,col_0,Quá hạnVND,Không nhạy cảmvới lãi suấtVND,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngVND,numeric__Quá hạnVND,numeric__Không nhạy cảmvới lãi suấtVND,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngVND
,,,Quá hạnVND,Không nhạy cảmvới lãi suấtVND,Đến 1 thángVND,Từ 1 - 3 thángVND,Từ 3 - 6 thángVND,Từ 6 - 12 thángVND,Từ 1 - 5 nămVND,Trên 5nămVND,Tổng cộngVND,,,,,,,,,
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tải sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,793.464.354.495,-,-,-,-,-,-,793.464.354.495,,793464354495.0,,,,,,,793464354495.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,3.225.386.957.711,-,-,-,-,-,-,3.225.386.957.711,,3225386957711.0,,,,,,,3225386957711.0
Tiền gửi tại và cho vay cácTCTD khác,Tải sản > Tiền gửi tại và cho vay cácTCTD khác,Tiền gửi tại và cho vay cácTCTD khác,-,1.035.522.780.925,18.000.857.286.446,1.101.536.522.612,243.611.475.842,145.000.143.074,109.727.000.000,-,20.636.255.208.899,,1035522780925.0,18000857286446.0,1101536522612.0,243611475842.0,145000143074.0,109727000000.0,,20636255208899.0
Chứng khoán kinh doanh -gộp,Tải sản > Chứng khoán kinh doanh -gộp,Chứng khoán kinh doanh -gộp,-,-,-,-,-,142.837.500.000,-,-,142.837.500.000,,,,,,142837500000.0,,,142837500000.0
Các công cụ tài chínhphái sinh,Tải sản > Các công cụ tài chínhphái sinh,Các công cụ tài chínhphái sinh,-,360.044.007.067,-,-,-,-,-,-,360.044.007.067,,360044007067.0,,,,,,,360044007067.0
Cho vay khách hàng vàmua nợ - góp,Tải sản > Cho vay khách hàng vàmua nợ - góp,Cho vay khách hàng vàmua nợ - góp,2.661.852.541.484,-,19.054.213.192.726,36.360.708.779.507,41.022.275.048.034,10.846.360.409.303,9.857.826.791.571,-,119.803.236.762.625,2661852541484.0,,19054213192726.0,36360708779507.0,41022275048034.0,10846360409303.0,9857826791571.0,,119803236762625.0
Chứng khoán đầu tư - góp,Tải sản > Chứng khoán đầu tư - góp,Chứng khoán đầu tư - góp,-,2.146.780.767.206,-,2.648.900.000.000,765.218.506.725,11.209.800.000.000,4.394.666.600.000,16.202.000.000.000,37.367.365.873.931,,2146780767206.0,,2648900000000.0,765218506725.0,11209800000000.0,4394666600000.0,16202000000000.0,37367365873931.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,583.606.445.091,-,-,-,-,-,-,583.606.445.091,,583606445091.0,,,,,,,583606445091.0
Tải sản Có khác - góp,Tải sản > Tải sản Có khác - góp,Tải sản Có khác - góp,4.800.000.000,12.698.566.641.677,-,-,-,-,-,-,12.703.366.641.677,4800000000.0,12698566641677.0,,,,,,,12703366641677.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,2.666.652.541.484,20.843.371.954.172,37.055.070.479.172,40.111.145.302.119,42.031.105.030.601,22.343.998.052.377,14.362.220.391.571,16.202.000.000.000,195.615.563.751.496,2666652541484.0,20843371954172.0,37055070479172.0,40111145302119.0,42031105030601.0,22343998052377.0,14362220391571.0,16202000000000.0,195615563751496.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủvà NHNN,Nợ phải trả > Các khoản nợ Chính phủvà NHNN,Các khoản nợ Chính phủvà NHNN,-,-,1.288.876.469.848,1.194.457.160.351,-,111.296.115.407,-,-,2.594.629.745.606,,,1288876469848.0,1194457160351.0,,111296115407.0,,,2594629745606.0
Tiền gửi và vay từ TCTDKhác,Nợ phải trả > Tiền gửi và vay từ TCTDKhác,Tiền gửi và vay từ TCTDKhác,-,-,20.172.012.549.190,1.487.882.718.168,559.479.827.011,328.989.584.406,90.278.179.658,-,22.638.642.858.433,,,20172012549190.0,1487882718168.0,559479827011.0,328989584406.0,90278179658.0,,22638642858433.0
"Tiền gửi của khách hàngVốn tải trợ, ủy thác đầu tư,cho vay tổ chức tin dụngchiư rủi ro","Nợ phải trả > Tiền gửi của khách hàngVốn tải trợ, ủy thác đầu tư,cho vay tổ chức tin dụngchiư rủi ro","Tiền gửi của khách hàngVốn tải trợ, ủy thác đầu tư,cho vay tổ chức tin dụngchiư rủi ro",-,-,33.665.744.210.125,18.466.571.853.928,29.049.327.724.939,15.447.980.501.688,5.573.565.019.543,-,102.203.189.310.223,,,33665744210125.0,18466571853928.0,29049327724939.0,15447980501688.0,5573565019543.0,,102203189310223.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,250.000.000,2.462.737.043.750,530.643.210.426,32.864.645.100,141.558.143.526,421.347.679,3.168.474.390.481,,,250000000.0,2462737043750.0,530643210426.0,32864645100.0,141558143526.0,421347679.0,3168474390481.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,100.000.000.000,2.400.000.000.000,450.000.000.000,7.650.000.000.000,21.422.737.500.000,-,32.022.737.500.000,,,100000000000.0,2400000000000.0,450000000000.0,7650000000000.0,21422737500000.0,,32022737500000.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,6.094.324.663.117,-,-,-,-,-,-,6.094.324.663.117,,6094324663117.0,,,,,,,6094324663117.0
Mức chênh nhạy cảm vớilãi suất,Nợ phải trả > Mức chênh nhạy cảm vớilãi suất,Mức chênh nhạy cảm vớilãi suất,-,6.094.324.663.117,55.226.883.229.163,26.011.648.776.197,30.589.450.762.376,23.571.130.846.601,27.228.138.842.727,421.347.679,168.721.998.467.860,,6094324663117.0,55226883229163.0,26011648776197.0,30589450762376.0,23571130846601.0,27228138842727.0,421347679.0,168721998467860.0
,,,2.666.652.541.484,14.749.047.291.055,(18.171.812.749.991),14.099.496.525.922,11.441.654.268.225,(1.227.132.794.224),(12.865.918.451.156),16.201.578.652.321,26.893.565.283.636,2666652541484.0,14749047291055.0,-18171812749991.0,14099496525922.0,11441654268225.0,-1227132794224.0,-12865918451156.0,16201578652321.0,26893565283636.0
