row_label_raw,row_label_full,col_0,Chưa quá hạn vàchưa bị giảm giáVND,Đã quá hạn vàchưa bị giảm giáVND,Đã quá hạn vàđã trích lập dự phòngVND,Tổng cộngVND,numeric__Chưa quá hạn vàchưa bị giảm giáVND,numeric__Đã quá hạn vàchưa bị giảm giáVND,numeric__Đã quá hạn vàđã trích lập dự phòngVND,numeric__Tổng cộngVND
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,20.636.255.208.899,-,-,20.636.255.208.899,20636255208899.0,,,20636255208899.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,18.426.225.031.606,-,-,18.426.225.031.606,18426225031606.0,,,18426225031606.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,2.210.030.177.293,-,-,2.210.030.177.293,2210030177293.0,,,2210030177293.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,142.837.500.000,-,-,142.837.500.000,142837500000.0,,,142837500000.0
Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,114.077.327.622.952,1.417.481.214.056,4.308.427.925.617,119.803.236.762.625,114077327622952.0,1417481214056.0,4308427925617.0,119803236762625.0
Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,Chứng khoán đầu tư sẵn sàng để bán - gộp,37.367.365.873.931,-,-,37.367.365.873.931,37367365873931.0,,,37367365873931.0
Tải sân Cỏ khác - gộp,Tải sân Cỏ khác - gộp,Tải sân Cỏ khác - gộp,6.273.132.934.006,-,4.800.000.000,6.277.932.934.006,6273132934006.0,,4800000000.0,6277932934006.0
,,,178.496.919.139.788,1.417.481.214.056,4.313.227.925.617,184.227.628.279.461,178496919139788.0,1417481214056.0,4313227925617.0,184227628279461.0
