row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022VND,Ngày 31 tháng 12năm 2021VND,numeric__Ngày 31 tháng 12năm 2022VND,numeric__Ngày 31 tháng 12năm 2021VND
USD,USD,USD,"23.540,00","22.765,00",23540.0,22765.0
EUR,EUR,EUR,"25.269,00","25.795,00",25269.0,25795.0
GBP,GBP,GBP,"28.602,00","30.813,50",28602.0,30813.5
JPY,JPY,JPY,"180,18","197,88",180.18,197.88
CAD,CAD,CAD,"17.436,50","17.896,50",17436.5,17896.5
AUD,AUD,AUD,"16.104,00","16.555,50",16104.0,16555.5
SGD,SGD,SGD,"17.631,50","16.875,00",17631.5,16875.0
KRW,KRW,KRW,"19,73","20,21",19.73,20.21
CNY,CNY,CNY,"3.415,50","3.581,50",3415.5,3581.5
THB,THB,THB,"703,00","709,00",703.0,709.0
CHF,CHF,CHF,"25.984,00","25.422,00",25984.0,25422.0
NZD,NZD,NZD,"15.454,00","16.045,00",15454.0,16045.0
HKD,HKD,HKD,"3.069,00","2.942,00",3069.0,2942.0
SEK,SEK,SEK,"2.257,74","2.555,88",2257.74,2555.88
TWD,TWD,TWD,"767,78","837,43",767.78,837.43
XAU,XAU,XAU,"6.630.000,00","6.115.000,00",6630000.0,6115000.0
