row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,10.809.453.049.274,14.903.745.787.679,10809453049274.0,14903745787679.0
- Bằng VND,- Bằng VND,- Bằng VND,10.212.914.878.032,14.303.460.155.544,10212914878032.0,14303460155544.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,596.538.171.242,600.285.632.135,596538171242.0,600285632135.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,35.139.498.246.162,39.380.428.934.601,35139498246162.0,39380428934601.0
- Bằng VND,- Bằng VND,- Bằng VND,35.099.480.246.162,39.380.147.786.851,35099480246162.0,39380147786851.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,40.018.000.000,281.147.750,40018000000.0,281147750.0
Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,Tiền gửi tiết kiệm không kỳ hạn,16.823.609.872,16.642.078.646,16823609872.0,16642078646.0
- Bằng VND,- Bằng VND,- Bằng VND,4.319.632.438,5.059.023.094,4319632438.0,5059023094.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,12.503.977.434,11.583.055.552,12503977434.0,11583055552.0
Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,Tiền gửi tiết kiệm có kỳ hạn,55.692.309.302.306,43.801.097.586.154,55692309302306.0,43801097586154.0
- Bằng VND,- Bằng VND,- Bằng VND,55.326.592.282.261,43.270.157.357.625,55326592282261.0,43270157357625.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,365.717.020.045,530.940.228.529,365717020045.0,530940228529.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,232.057.556.135,136.965.296.012,232057556135.0,136965296012.0
- Bằng VND,- Bằng VND,- Bằng VND,929.327.316,35.092.705.103,929327316.0,35092705103.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,231.128.228.819,101.872.590.909,231128228819.0,101872590909.0
Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,313.047.546.474,565.733.092.452,313047546474.0,565733092452.0
- Bằng VND,- Bằng VND,- Bằng VND,307.295.370.924,563.386.615.801,307295370924.0,563386615801.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,5.752.175.550,2.346.476.651,5752175550.0,2346476651.0
,,,102.203.189.310.223,98.804.612.775.544,102203189310223.0,98804612775544.0
