row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư và phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư và phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.236.512.460.000,726.165.882.833,44.843.396.730,904.294.520.169,4.911.816.259.732,3236512460000.0,726165882833.0,44843396730.0,904294520169.0,4911816259732.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,736.074.592.960,736.074.592.960,,,,736074592960.0,736074592960.0
Trích quỹ đầu tư và phát triển,Trích quỹ đầu tư và phát triển,Trích quỹ đầu tư và phát triển,-,94.019.969.615,-,(94.019.969.615),-,,94019969615.0,,-94019969615.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(26.116.658.226),(26.116.658.226),,,,-26116658226.0,-26116658226.0
Trích quỹ khen thưởng Ban điều hành,Trích quỹ khen thưởng Ban điều hành,Trích quỹ khen thưởng Ban điều hành,-,-,-,(5.223.331.645),(5.223.331.645),,,,-5223331645.0,-5223331645.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,(97.095.373.800),(97.095.373.800),,,,-97095373800.0,-97095373800.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.236.512.460.000,820.185.852.448,44.843.396.730,1.417.913.779.843,5.519.455.489.021,3236512460000.0,820185852448.0,44843396730.0,1417913779843.0,5519455489021.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,626.174.164.679,626.174.164.679,,,,626174164679.0,626174164679.0
Trích quỹ đầu tư và phát triển (*),Trích quỹ đầu tư và phát triển (*),Trích quỹ đầu tư và phát triển (*),-,220.822.377.888,-,(220.822.377.888),-,,220822377888.0,,-220822377888.0,
"Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)","Trích quỹ khen thưởng, phúc lợi (*)",-,-,-,(36.803.729.648),(36.803.729.648),,,,-36803729648.0,-36803729648.0
Trích quỹ khen thưởng Ban điều hành (*),Trích quỹ khen thưởng Ban điều hành (*),Trích quỹ khen thưởng Ban điều hành (*),-,-,-,(7.360.745.930),(7.360.745.930),,,,-7360745930.0,-7360745930.0
Chia cổ tức bằng tiền (**),Chia cổ tức bằng tiền (**),Chia cổ tức bằng tiền (**),-,-,-,(106.803.791.400),(106.803.791.400),,,,-106803791400.0,-106803791400.0
Chia cổ tức bằng cổ phiếu (***),Chia cổ tức bằng cổ phiếu (***),Chia cổ tức bằng cổ phiếu (***),323.613.920.000,-,-,(323.613.920.000),-,323613920000.0,,,-323613920000.0,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.560.126.380.000,1.041.008.230.336,44.843.396.730,1.348.683.379.656,5.994.661.386.722,3560126380000.0,1041008230336.0,44843396730.0,1348683379656.0,5994661386722.0
