row_label_raw,row_label_full,Số cuối năm > Chỉ tiêu,Số cuối năm > Dịch vụ vận tải,Số cuối năm > Dịch vụ kho nối,Số cuối năm > Thương mại,Số cuối năm > Dịch vụ khác,Số cuối năm > Tổng,numeric__Số cuối năm > Dịch vụ vận tải,numeric__Số cuối năm > Dịch vụ kho nối,numeric__Số cuối năm > Thương mại,numeric__Số cuối năm > Dịch vụ khác,numeric__Số cuối năm > Tổng
,,,VND,VND,VND,VND,VND,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,6.549.904.590.514,194.465.743.525,12.494.893.792,99.626.721.569,6.856.491.949.400,6549904590514.0,194465743525.0,12494893792.0,99626721569.0,6856491949400.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,2.659.846.556.480,,,,,2659846556480.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,9.516.338.505.880,,,,,9516338505880.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.228.076.114.912,64.265.799.329,13.852.722.632,51.558.238.829,3.357.752.875.702,3228076114912.0,64265799329.0,13852722632.0,51558238829.0,3357752875702.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,163.924.243.456,,,,,163924243456.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,3.521.677.119.158,,,,,3521677119158.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Dịch vụ vận tải,Dịch vụ kho nối,Thương mại,Dịch vụ khác,Tổng,,,,,
,,,VND,VND,VND,VND,VND,,,,,
Tài sản bộ phận,Chỉ tiêu > Tài sản bộ phận,Tài sản bộ phận,5.876.946.513.287,167.622.620.374,3.416.394.738,161.574.158.798,6.209.559.687.197,5876946513287.0,167622620374.0,3416394738.0,161574158798.0,6209559687197.0
Tài sản không phân bổ,Chỉ tiêu > Tài sản không phân bổ,Tài sản không phân bổ,,,,,2.721.885.190.272,,,,,2721885190272.0
Tổng tài sản,Chỉ tiêu > Tổng tài sản,Tổng tài sản,,,,,8.931.444.877.469,,,,,8931444877469.0
Nợ phải trả bộ phận,Chỉ tiêu > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.044.707.183.583,85.479.754.639,509.112.570,121.175.305.372,3.251.871.356.164,3044707183583.0,85479754639.0,509112570.0,121175305372.0,3251871356164.0
Nợ phải trả không phân bổ,Chỉ tiêu > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,160.118.032.284,,,,,160118032284.0
Tổng nợ phải trả,Chỉ tiêu > Tổng nợ phải trả,Tổng nợ phải trả,,,,,3.411.989.388.448,,,,,3411989388448.0
