row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,16.574.395.909,117.268.253.462,120.474.751.255,13.367.898.116,16574395909.0,117268253462.0,120474751255.0,13367898116.0
Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,Thuế giá trị gia tăng hàng nhập khẩu,-,440.417.302,440.417.302,-,,440417302.0,440417302.0,
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,283.851.549,283.851.549,-,,283851549.0,283851549.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(12.508.007.181),125.336.097.704,96.840.507.381,15.987.583.142,-12508007181.0,125336097704.0,96840507381.0,15987583142.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.863.929.004,22.989.382.073,22.337.752.898,4.515.558.179,3863929004.0,22989382073.0,22337752898.0,4515558179.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,-,3.350.424.376,3.348.428.443,1.995.933,,3350424376.0,3348428443.0,1995933.0
Thuế môn bài và thuế khác,Thuế môn bài và thuế khác,Thuế môn bài và thuế khác,-,5.020.306,5.020.306,-,,5020306.0,5020306.0,
,,,7.930.317.732,269.673.446.772,243.730.729.134,33.873.035.370,7930317732.0,269673446772.0,243730729134.0,33873035370.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,12.508.007.181,,,-,12508007181.0,,,
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,20.438.324.913,,,33.873.035.370,20438324913.0,,,33873035370.0
