row_label_raw,row_label_full,MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo),MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_1,MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_2,MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_3,MÃU SỐ B 09-DN,numeric__MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_1,numeric__MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_2,numeric__MINH BÁO CÁO TÀI CHÍNH RIÊNG (Tiếp theo)_3,numeric__MÃU SỐ B 09-DN
,,,Dưới 1 năm,Từ 1 đến 5 năm,Trên 5 năm,Tổng,,,,
,,,VND,VND,VND,VND,,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,293.230.349.674,-,-,293.230.349.674,293230349674.0,,,293230349674.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,652.193.058.509,6.239.909.490,-,658.432.967.999,652193058509.0,6239909490.0,,658432967999.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.337.838.190.198,-,45.937.767.300,1.383.775.957.498,1337838190198.0,,45937767300.0,1383775957498.0
,,,2.283.261.598.381,6.239.909.490,45.937.767.300,2.335.439.275.171,2283261598381.0,6239909490.0,45937767300.0,2335439275171.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,533.763.676.811,1.343.890.840.884,365.146.753.145,2.242.801.270.840,533763676811.0,1343890840884.0,365146753145.0,2242801270840.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,446.959.646.445,247.439.992.001,-,694.399.638.446,446959646445.0,247439992001.0,,694399638446.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,47.660.943.473,-,-,47.660.943.473,47660943473.0,,,47660943473.0
,,,1.028.384.266.729,1.591.330.832.885,365.146.753.145,2.984.861.852.759,1028384266729.0,1591330832885.0,365146753145.0,2984861852759.0
Chênh lệch thanh khoản thuần,Công nợ tài chính > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.254.877.331.652,(1.585.090.923.395),(319.208.985.845),(649.422.577.588),1254877331652.0,-1585090923395.0,-319208985845.0,-649422577588.0
,,,Dưới 1 năm,Từ 1 đến 5 năm,Trên 5 năm,Tổng,,,,
,,,VND,VND,VND,VND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,328.649.814.899,-,-,328.649.814.899,328649814899.0,,,328649814899.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,585.386.316.800,10.872.202.730,-,596.258.519.530,585386316800.0,10872202730.0,,596258519530.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.746.300.000.000,-,45.937.767.300,1.792.237.767.300,1746300000000.0,,45937767300.0,1792237767300.0
,,,2.660.336.131.699,10.872.202.730,45.937.767.300,2.717.146.101.729,2660336131699.0,10872202730.0,45937767300.0,2717146101729.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,682.680.177.182,1.191.575.991.652,241.360.796.839,2.115.616.965.673,682680177182.0,1191575991652.0,241360796839.0,2115616965673.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,379.117.859.865,324.996.109.334,-,704.113.969.199,379117859865.0,324996109334.0,,704113969199.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,37.613.732.330,-,-,37.613.732.330,37613732330.0,,,37613732330.0
,,,1.099.411.769.377,1.516.572.100.986,241.360.796.839,2.857.344.667.202,1099411769377.0,1516572100986.0,241360796839.0,2857344667202.0
Chênh lệch thanh khoản thuần,Công nợ tài chính > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.560.924.362.322,(1.505.699.898.256),(195.423.029.539),(140.198.565.473),1560924362322.0,-1505699898256.0,-195423029539.0,-140198565473.0
