row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối nămVND,Giá trị ghi số > Số đầu nămVND,numeric__Giá trị ghi số > Số cuối nămVND,numeric__Giá trị ghi số > Số đầu nămVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,293.230.349.674,328.649.814.899,293230349674.0,328649814899.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,658.432.967.999,596.258.519.530,658432967999.0,596258519530.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.383.775.957.498,1.792.237.767.300,1383775957498.0,1792237767300.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,2.335.439.275.171,2.717.146.101.729,2335439275171.0,2717146101729.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,2.242.801.270.840,2.115.616.965.673,2242801270840.0,2115616965673.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,694.399.638.446,704.113.969.199,694399638446.0,704113969199.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,47.660.943.473,37.613.732.330,47660943473.0,37613732330.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,2.984.861.852.759,2.857.344.667.202,2984861852759.0,2857344667202.0
