row_label_raw,row_label_full,Tên công ty,Nơi đăng ký hoạt động,Số lượng cổ phần nằm giữ,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nằm giữ,Hoạt động chính,numeric__Nơi đăng ký hoạt động,numeric__Số lượng cổ phần nằm giữ,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết nằm giữ,numeric__Hoạt động chính
Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,"Tầng 3, Tòa nhà PVFCCo, Số 43 Mạc Đĩnh Chi, Phường Đa kao, Quận 1, Thành phố Hồ Chí Minh",67.320.000,"64,92%","64,92%","Kinh doanh vận tải đầu thô, cho thuê phương tiện vận tải, dịch vụ môi giới tàu biển, đại lý hàng hải, cung ứng tàu biển, sửa chữa tàu biển.",,67320000.0,0.6492,0.6492,
Công ty Cổ phần Vận tải Xăng đầu Phương Nam,Công ty Cổ phần Vận tải Xăng đầu Phương Nam,Công ty Cổ phần Vận tải Xăng đầu Phương Nam,"Tầng 6, Tòa nhà PVFCCo, Số 43 Mạc Đĩnh Chi, Phường Đa kao, Quận 1, Thành phố Hồ Chí Minh",40.563.200,"69,63%","53,75%","Kinh doanh vận tải xăng đầu bằng đường biển, đại lý kinh doanh xăng dầu, đại lý hàng hải, dịch vụ môi giới, cung ứng, sửa chữa tàu biển và cho thuê phương tiện vận tải.",,40563200.0,0.6962999999999999,0.5375,
Công ty Cổ phần Vận tải Nhật Việt,Công ty Cổ phần Vận tải Nhật Việt,Công ty Cổ phần Vận tải Nhật Việt,"151 Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh",58.905.000,"51,00%","51,00%","Cung cấp dịch vụ quản lý tàu; cung cấp nhiên liệu trong nước và nhập khẩu tạm thời đối với các tàu biển, tái xuất; vận chuyển khí hóa lỏng LPG trong vùng biển nội địa và quốc tế; dịch vụ: đại lý tàu biển.",,58905000.0,0.51,0.51,
Công ty Cổ phần Sản phẩm khí Quốc tế,Công ty Cổ phần Sản phẩm khí Quốc tế,Công ty Cổ phần Sản phẩm khí Quốc tế,"Tầng 13, Tòa nhà Sofic, Số 10 Mai Chí Thọ, Phường Thủ Thiêm, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",41.725.581,"67,98%","67,98%","Kinh doanh mua bán phương tiện vận tải, cho thuê tàu, kinh doanh vận tải hàng bằng ô tô, đường thủy nội địa, kinh doanh vận tải biển, dịch vụ: đại lý tàu biển, môi giới hàng hải, cung ứng tàu biển, kiểm đếm hàng hóa, vệ sinh tàu biển, sửa chữa tàu biển tại cảng, giao nhận hàng hóa xuất nhập khẩu, đào tạo nghề.",,41725581.0,0.6798000000000001,0.6798000000000001,
Công ty Cổ phần Hàng hải Thăng Long,Công ty Cổ phần Hàng hải Thăng Long,Công ty Cổ phần Hàng hải Thăng Long,"Tầng 6, Tòa nhà PVFCCo, Số 43 Mạc Đĩnh Chi, Phường Đa kao, Quận 1, Thành phố Hồ Chí Minh",23.088.000,"99,85%","99,85%","Kinh doanh vận tải dầu thô và các sản phẩm khí, cung ứng dịch vụ hàng hải, sửa chữa tàu biển và phương tiện nối, thuê và cho thuê tàu biển, phương tiện vận tải khác, tuyến dụng, đào tạo và cung ứng thuyền viên, kinh doanh xuất khẩu các mặt hàng công, nông, ngư nghiệp, và các mặt hàng phục vụ đời sống dân sinh.",,23088000.0,0.9984999999999999,0.9984999999999999,
