row_label_raw,row_label_full,col_0,Chi phí sửa chữa lớntài sản cố định,numeric__Chi phí sửa chữa lớntài sản cố định
,,,VND,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,128.207.306.087,128207306087.0
Trích lập dự phòng thuần,Trích lập dự phòng thuần,Trích lập dự phòng thuần,108.848.940.256,108848940256.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(7.310.099.249),-7310099249.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(97.726.932.727),-97726932727.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,132.019.214.367,132019214367.0
