row_label_raw,row_label_full,col_0,Số đầu năm,Trong năm,Trong năm_1,Trong năm_2,Số cuối năm,numeric__Số đầu năm,numeric__Trong năm,numeric__Trong năm_1,numeric__Trong năm_2,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,,,,,
,,,Giá trị,Đã nhận vay ngắn hạn/Phân loại lại từ vay dài hạn,Thanh toán,Chênh lệch tỷ giá,Giá trị,,,,,
Vay ngắn hạn (*),Vay ngắn hạn (*),Vay ngắn hạn (*),199.500.000.000,257.888.543.503,(457.388.543.503),-,-,199500000000.0,257888543503.0,-457388543503.0,,
Vay dài hạn đến hạn trả (Thuyết minh số 20),Vay dài hạn đến hạn trả (Thuyết minh số 20),Vay dài hạn đến hạn trả (Thuyết minh số 20),483.180.177.182,522.521.754.368,(483.180.177.179),11.241.922.440,533.763.676.811,483180177182.0,522521754368.0,-483180177179.0,11241922440.0,533763676811.0
,,,682.680.177.182,780.410.297.871,(940.568.720.682),11.241.922.440,533.763.676.811,682680177182.0,780410297871.0,-940568720682.0,11241922440.0,533763676811.0
