row_label_raw,row_label_full,Năm trước > Chỉ tiêu,Năm trước > Dịch vụ vận tải,Năm trước > Dịch vụ kho nối,Năm trước > Thương mại,Năm trước > Dịch vụ khác,Năm trước > Tổng,numeric__Năm trước > Dịch vụ vận tải,numeric__Năm trước > Dịch vụ kho nối,numeric__Năm trước > Thương mại,numeric__Năm trước > Dịch vụ khác,numeric__Năm trước > Tổng
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu > Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,2.503.150.433.750,599.347.202.161,68.216.480.850,102.005.924.296,3.272.720.041.057,2503150433750.0,599347202161.0,68216480850.0,102005924296.0,3272720041057.0
Giá vốn,Giá vốn,Giá vốn,,,,,,,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,1.900.791.589.683,470.843.968.947,65.707.277.991,93.659.005.845,2.531.001.842.466,1900791589683.0,470843968947.0,65707277991.0,93659005845.0,2531001842466.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,,,,,,,,,,
Lợi nhuận gộp,Lợi nhuận gộp > Lợi nhuận gộp,Lợi nhuận gộp,602.358.844.067,128.503.233.214,2.509.202.859,8.346.918.451,741.718.198.591,602358844067.0,128503233214.0,2509202859.0,8346918451.0,741718198591.0
Chi phí không phân bổ,Lợi nhuận gộp > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(124.790.733.054),,,,,-124790733054.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận gộp > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,616.927.465.537,,,,,616927465537.0
Doanh thu hoạt động tài chính,Lợi nhuận gộp > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,320.551.984.572,,,,,320551984572.0
Lợi nhuận khác,Lợi nhuận gộp > Lợi nhuận khác,Lợi nhuận khác,,,,,20.669.809.699,,,,,20669809699.0
Chi phí tài chính,Lợi nhuận gộp > Chi phí tài chính,Chi phí tài chính,,,,,(73.702.830.696),,,,,-73702830696.0
Lợi nhuận trước thuế,Lợi nhuận gộp > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,884.446.429.112,,,,,884446429112.0
Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận gộp > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(118.149.539.202),,,,,-118149539202.0
Thuế thu nhập doanh nghiệp hoãn lại,Lợi nhuận gộp > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,(30.222.296.950),,,,,-30222296950.0
Lợi nhuận trong năm,Lợi nhuận gộp > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,736.074.592.960,,,,,736074592960.0
Thông tin khác,Thông tin khác,Thông tin khác,,,,,,,,,,
Khấu hao,Thông tin khác > Khấu hao,Khấu hao,,,,,279.490.472.480,,,,,279490472480.0
