row_label_raw,row_label_full,2016,Ngân hàng thương mại Triệu VND,Quản lý tài sảnTriệu VND,Loại trừTriệu VND,TổngTriệu VND,numeric__Ngân hàng thương mại Triệu VND,numeric__Quản lý tài sảnTriệu VND,numeric__Loại trừTriệu VND,numeric__TổngTriệu VND
Thu nhập,Thu nhập,Thu nhập,2.403.578,48.107,(11.441),2.440.244,2403578.0,48107.0,-11441.0,2440244.0
Chi phí,Chi phí,Chi phí,(2.122.787),(33.403),7.552,(2.148.638),-2122787.0,-33403.0,7552.0,-2148638.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,(47.674),(267),-,(47.941),-47674.0,-267.0,,-47941.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,233.117,14.437,(3.889),243.665,233117.0,14437.0,-3889.0,243665.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Ngân hàng thương mạiTriệu VND,Quản lý tài sảnTriệu VND,Loại trừTriệu VND,TổngTriệu VND,,,,
Tài sản bộ phận,Tại ngày 31 tháng 12 năm 2016 > Tài sản bộ phận,Tài sản bộ phận,30.411.497,542.433,(502.922),30.451.008,30411497.0,542433.0,-502922.0,30451008.0
Nợ phải trả bộ phận,Tại ngày 31 tháng 12 năm 2016 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,27.062.081,27.963,(2.922),27.087.122,27062081.0,27963.0,-2922.0,27087122.0
2015,2015,2015,Ngân hàng thương mạiTriệu VND,Quản lý tài sảnTriệu VND,Loại trừTriệu VND,TổngTriệu VND,,,,
Thu nhập,2015 > Thu nhập,Thu nhập,2.128.186,19.358,(11.166),2.136.378,2128186.0,19358.0,-11166.0,2136378.0
Chi phí,2015 > Chi phí,Chi phí,(1.880.920),(12.639),8.599,(1.884.960),-1880920.0,-12639.0,8599.0,-1884960.0
Chi phí khấu hao tài sản cố định,2015 > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,(37.648),(2.110),-,(39.758),-37648.0,-2110.0,,-39758.0
Lợi nhuận trước thuế,2015 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,209.618,4.609,(2.567),211.660,209618.0,4609.0,-2567.0,211660.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Ngân hàng thương mạiTriệu VND,Quản lý tài sảnTriệu VND,Loại trừTriệu VND,TổngTriệu VND,,,,
Tài sản bộ phận,Tại ngày 31 tháng 12 năm 2015 > Tài sản bộ phận,Tài sản bộ phận,25.360.531,510.042,(548.335),25.322.238,25360531.0,510042.0,-548335.0,25322238.0
Nợ phải trả bộ phận,Tại ngày 31 tháng 12 năm 2015 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,21.992.952,4.274,(48.335),21.948.891,21992952.0,4274.0,-48335.0,21948891.0
