row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Tại ngày 31 tháng 12 năm 2015","Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Dưới 1 tháng","Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ trên 1 đến 3 tháng","Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ trên 3 đến 6 tháng","Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ trên 6 đến 12 tháng","Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ trên 1 đến 5 năm","Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Trên 5 năm","numeric__Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Dưới 1 tháng","numeric__Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ trên 1 đến 3 tháng","numeric__Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ trên 3 đến 6 tháng","numeric__Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ trên 6 đến 12 tháng","numeric__Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Từ trên 1 đến 5 năm","numeric__Ngân hàng Thương mại Cổ phần Kiên Long40 – 42 – 44 Phạm Hồng Thái, Phường Vĩnh Thanh VânThành phố Rạch Giá, Tỉnh Kiên Giang, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016 (tiếp theo) > Trên 5 năm"
Tài sân,Tài sân,Tài sân,,,,,,,,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,,,,,,,,
▪ VND,Tiền gửi tại NHNNVN > ▪ VND,▪ VND,-,"1,20%",-,-,-,-,-,,0.012,,,,,
▪ Ngoại tệ,Tiền gửi tại NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,05%",-,-,-,-,-,,0.0005,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,,,,,,,,
▪ VND,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ VND,▪ VND,-,"5,09%","5,30%",-,-,-,-,,0.0509,0.053,,,,
▪ Ngoại tệ,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,53%",-,-,-,-,-,,0.0053,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,,,
▪ VND,Cho vay khách hàng > ▪ VND,▪ VND,"15,15%","7,48%","7,64%","7,16%","9,56%","11,29%","10,72%",0.1515,0.0748,0.0764,0.0716,0.0956,0.11289999999999999,0.1072
▪ Ngoại tệ,Cho vay khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,-,-,-,-,"2,85%","4,71%",-,,,,,0.0285,0.0471,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,,,,,,,,,
▪ VND,Chứng khoán đầu tư > ▪ VND,▪ VND,-,-,-,-,-,"6,71%",-,,,,,,0.06709999999999999,
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,,,,,,,,,,,,,,
▪ VND,Các khoản nợ NHNNVN > ▪ VND,▪ VND,-,"5,00%",-,-,-,-,-,,0.05,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,,,,,,,,,
▪ VND,Tiền gửi và vay các tổ chức tín dụng khác > ▪ VND,▪ VND,-,"1,01%","5,13%","5,26%",-,"5,63%",-,,0.0101,0.0513,0.0526,,0.056299999999999996,
▪ Ngoại tệ,Tiền gửi và vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,-,"0,70%","0,10%","0,54%",-,"0,75%",,,0.006999999999999999,0.001,0.0054,,0.0075
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,,,
▪ VND,Tiền gửi của khách hàng > ▪ VND,▪ VND,-,"1,01%","5,24%","5,23%","5,89%","6,89%","7,25%",,0.0101,0.0524,0.052300000000000006,0.058899999999999994,0.0689,0.0725
▪ Ngoại tệ,Tiền gửi của khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,23%","0,12%","0,12%","0,31%","0,46%","0,59%",,0.0023,0.0012,0.0012,0.0031,0.0046,0.0059
