row_label_raw,row_label_full,col_0,2016Triệu VND,2015Triệu VND,numeric__2016Triệu VND,numeric__2015Triệu VND
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Lãi từ thanh lý tài sản cố định,Thu nhập khác > Lãi từ thanh lý tài sản cố định,Lãi từ thanh lý tài sản cố định,12.176,416,12176.0,416.0
Thu hồi nợ đã xóa số trong những năm trước,Thu nhập khác > Thu hồi nợ đã xóa số trong những năm trước,Thu hồi nợ đã xóa số trong những năm trước,3.756,4.175,3756.0,4175.0
Thu từ các khoản nợ đã bán cho VAMC,Thu nhập khác > Thu từ các khoản nợ đã bán cho VAMC,Thu từ các khoản nợ đã bán cho VAMC,14.632,14.556,14632.0,14556.0
Thu từ tiền phạt hợp đồng,Thu nhập khác > Thu từ tiền phạt hợp đồng,Thu từ tiền phạt hợp đồng,8.440,4.131,8440.0,4131.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,10.612,1.018,10612.0,1018.0
,,,49.616,24.296,49616.0,24296.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Lỗ từ thanh lý tài sản cố định,Chi phí khác > Lỗ từ thanh lý tài sản cố định,Lỗ từ thanh lý tài sản cố định,(3.477),(235),-3477.0,-235.0
Chi phí cho hoạt động công tác xã hội,Chi phí khác > Chi phí cho hoạt động công tác xã hội,Chi phí cho hoạt động công tác xã hội,(9.173),(10.707),-9173.0,-10707.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,(2.308),(20),-2308.0,-20.0
,,,(14.958),(10.962),-14958.0,-10962.0
Lãi thuần từ hoạt động khác,Chi phí khác > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,34.658,13.334,34658.0,13334.0
