row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt,4,299.046,206.918,,4.0,299046.0,206918.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,901.778,721.384,,5.0,901778.0,721384.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",6,3.090.239,1.772.866,,6.0,3090239.0,1772866.0
1,A > 1,1,Tiền gửi tại các TCTD khác,,3.090.239,1.672.866,,,3090239.0,1672866.0
2,A > 2,2,Cho vay các TCTD khác,,-,100.000,,,,100000.0
VI,A > VI,VI,Cho vay khách hàng,,19.596.649,16.080.186,,,19596649.0,16080186.0
1,A > 1,1,Cho vay khách hàng,7,19.766.439,16.217.984,,7.0,19766439.0,16217984.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,8,(169.790),(137.798),,8.0,-169790.0,-137798.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,9,2.923.124,3.479.751,,9.0,2923124.0,3479751.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,2.335.915,3.141.588,,,2335915.0,3141588.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,715.408,416.461,,,715408.0,416461.0
3,A > 3,3,Dự phòng rủi ro đầu tư chứng khoán,,(128.199),(78.298),,,-128199.0,-78298.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",10,14.521,30.530,,10.0,14521.0,30530.0
4,A > 4,4,Đầu tư dài hạn khác,,14.521,30.530,,,14521.0,30530.0
X,A > X,X,Tài sản cố định,,1.315.479,1.049.432,,,1315479.0,1049432.0
1,A > 1,1,Tài sản cố định hữu hình,11,584.959,374.732,,11.0,584959.0,374732.0
a,A > a,a,Nguyên giá,,705.329,464.076,,,705329.0,464076.0
b,A > b,b,Giá trị hao mòn lũy kế,,(120.370),(89.344),,,-120370.0,-89344.0
3,A > 3,3,Tài sản cố định vô hình,12,730.520,674.700,,12.0,730520.0,674700.0
a,A > a,a,Nguyên giá,,765.638,701.704,,,765638.0,701704.0
b,A > b,b,Giá trị hao mòn lũy kế,,(35.118),(27.004),,,-35118.0,-27004.0
XII,A > XII,XII,Tài sản Có khác,,2.310.172,1.981.171,,,2310172.0,1981171.0
1,A > 1,1,Các khoản phải thu,13,703.720,637.547,,13.0,703720.0,637547.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,1.274.730,1.129.732,,,1274730.0,1129732.0
4,A > 4,4,Tài sản Có khác,14,331.722,213.892,,14.0,331722.0,213892.0
,,,TỔNG TÀI SẢN,,30.451.008,25.322.238,,,30451008.0,25322238.0
