row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2016Triệu VND,2015Triệu VND,numeric__2016Triệu VND,numeric__2015Triệu VND
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,,,
Tiền gửi,Thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,45.743,28.815,45743.0,28815.0
Chi phí lãi tiền gửi,Thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,21,6,21.0,6.0
Tiền lương và thường,Thành viên Hội đồng Quản trị > Tiền lương và thường,Tiền lương và thường,6.757,5.653,6757.0,5653.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,,,
Tiền gửi,Thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,7.559,17.007,7559.0,17007.0
Chi phí lãi tiền gửi,Thành viên Ban Tổng Giám đốc > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,133,65,133.0,65.0
Tiền lương và thường,Thành viên Ban Tổng Giám đốc > Tiền lương và thường,Tiền lương và thường,9.641,7.516,9641.0,7516.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,,,
Tiền gửi,Thành viên Ban Kiểm soát > Tiền gửi,Tiền gửi,399,3.942,399.0,3942.0
Chi phí lãi tiền gửi,Thành viên Ban Kiểm soát > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,34,26,34.0,26.0
Tiền lương và thường,Thành viên Ban Kiểm soát > Tiền lương và thường,Tiền lương và thường,2.139,1.891,2139.0,1891.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,31/12/2016Phải trả,31/12/2016Phải trả,,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Triệu VND,Triệu VND,,
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,,,
Tiền gửi,Thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,(199),(248),-199.0,-248.0
Lãi phải trả,Thành viên Hội đồng Quản trị > Lãi phải trả,Lãi phải trả,(4),(5),-4.0,-5.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,,,
Tiền gửi,Thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,(710),(4.530),-710.0,-4530.0
Lãi phải trả,Thành viên Ban Tổng Giám đốc > Lãi phải trả,Lãi phải trả,(5),(56),-5.0,-56.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,,,
Tiền gửi,Thành viên Ban Kiểm soát > Tiền gửi,Tiền gửi,(345),(623),-345.0,-623.0
Lãi phải trả,Thành viên Ban Kiểm soát > Lãi phải trả,Lãi phải trả,(1),(9),-1.0,-9.0
