row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Có tài sảnbảo đảmTriệu VND,Không có tàisản bảo đảmTriệu VND,TổngTriệu VND,numeric__Có tài sảnbảo đảmTriệu VND,numeric__Không có tàisản bảo đảmTriệu VND,numeric__TổngTriệu VND
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,,
Tiền gửi tại NHNNVN,Các khoản cho vay và phải thu > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,721.384,721.384,,721384.0,721384.0
Tiền gửi và cho vay các tổ chức tín dụng khác (i),Các khoản cho vay và phải thu > Tiền gửi và cho vay các tổ chức tín dụng khác (i),Tiền gửi và cho vay các tổ chức tín dụng khác (i),-,1.772.866,1.772.866,,1772866.0,1772866.0
Cho vay khách hàng – gộp (ii),Các khoản cho vay và phải thu > Cho vay khách hàng – gộp (ii),Cho vay khách hàng – gộp (ii),15.612.821,316.101,15.928.922,15612821.0,316101.0,15928922.0
"Các khoản lãi, phí phải thu","Các khoản cho vay và phải thu > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",-,1.129.732,1.129.732,,1129732.0,1129732.0
Các tài sản tài chính khác,Các khoản cho vay và phải thu > Các tài sản tài chính khác,Các tài sản tài chính khác,-,38.895,38.895,,38895.0,38895.0
,,,15.612.821,3.978.978,19.591.799,15612821.0,3978978.0,19591799.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,,,
Chứng khoán nợ sẵn sàng để bán – gộp (iii),Tài sản tài chính sẵn sàng để bán > Chứng khoán nợ sẵn sàng để bán – gộp (iii),Chứng khoán nợ sẵn sàng để bán – gộp (iii),-,2.616.838,2.616.838,,2616838.0,2616838.0
Các cam kết ngoại bằng,Các cam kết ngoại bằng,Các cam kết ngoại bằng,,,,,,
Cam kết trong nghiệp vụ thư tín dụng – gộp,Các cam kết ngoại bằng > Cam kết trong nghiệp vụ thư tín dụng – gộp,Cam kết trong nghiệp vụ thư tín dụng – gộp,14.818,4.027,18.845,14818.0,4027.0,18845.0
Cam kết khác – gộp,Các cam kết ngoại bằng > Cam kết khác – gộp,Cam kết khác – gộp,800,17.784,18.584,800.0,17784.0,18584.0
,,,15.618,21.811,37.429,15618.0,21811.0,37429.0
,,,15.628.439,6.617.627,22.246.066,15628439.0,6617627.0,22246066.0
