row_label_raw,row_label_full,2016,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sản cố địnhhữu hình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sản cố địnhhữu hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,270.630,86.414,84.699,12.510,9.823,464.076,270630.0,86414.0,84699.0,12510.0,9823.0,464076.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,169,1.521,-,-,-,1.690,169.0,1521.0,,,,1690.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,185.500,58.273,6.965,-,-,250.738,185500.0,58273.0,6965.0,,,250738.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(4.263),(5.283),(41),(1.588),-,(11.175),-4263.0,-5283.0,-41.0,-1588.0,,-11175.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(3.125),2.134,727,264,-,-,-3125.0,2134.0,727.0,264.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,448.911,143.059,92.350,11.186,9.823,705.329,448911.0,143059.0,92350.0,11186.0,9823.0,705329.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,17.938,35.944,26.487,6.435,2.540,89.344,17938.0,35944.0,26487.0,6435.0,2540.0,89344.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,14.422,12.647,9.258,1.554,1.900,39.781,14422.0,12647.0,9258.0,1554.0,1900.0,39781.0
Thanh lý,Giá trị hao mòn luỹ kế > Thanh lý,Thanh lý,(1.914),(5.247),(32),(1.562),-,(8.755),-1914.0,-5247.0,-32.0,-1562.0,,-8755.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,(112),67,42,3,-,-,-112.0,67.0,42.0,3.0,,
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,30.334,43.411,35.755,6.430,4.440,120.370,30334.0,43411.0,35755.0,6430.0,4440.0,120370.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,252.692,50.470,58.212,6.075,7.283,374.732,252692.0,50470.0,58212.0,6075.0,7283.0,374732.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,418.577,99.648,56.595,4.756,5.383,584.959,418577.0,99648.0,56595.0,4756.0,5383.0,584959.0
