row_label_raw,row_label_full,2016,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Miền Bắc Triệu VND,numeric__Miền Trung Triệu VND,numeric__Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,321.874,512.412,5.731.769,(4.125.811),2.440.244,321874.0,512412.0,5731769.0,-4125811.0,2440244.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,320.389,505.000,5.594.427,(4.125.811),2.294.005,320389.0,505000.0,5594427.0,-4125811.0,2294005.0
Doanh thu lãi khách hàng bên ngoài,Doanh thu lãi khách hàng bên ngoài,Doanh thu lãi khách hàng bên ngoài,101.780,202.663,1.989.562,-,2.294.005,101780.0,202663.0,1989562.0,,2294005.0
Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,218.609,302.337,3.604.865,(4.125.811),-,218609.0,302337.0,3604865.0,-4125811.0,
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,864,1.095,29.853,-,31.812,864.0,1095.0,29853.0,,31812.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,621,6.317,107.489,-,114.427,621.0,6317.0,107489.0,,114427.0
II. Chi phí,II. Chi phí,II. Chi phí,(301.277),(483.598),(5.537.515),4.125.811,(2.196.579),-301277.0,-483598.0,-5537515.0,4125811.0,-2196579.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(259.791),(407.030),(4.967.058),4.125.811,(1.508.068),-259791.0,-407030.0,-4967058.0,4125811.0,-1508068.0
Chi phí lãi từ khách hàng bên ngoài,Chi phí lãi từ khách hàng bên ngoài,Chi phí lãi từ khách hàng bên ngoài,(165.120),(220.684),(1.122.264),-,(1.508.068),-165120.0,-220684.0,-1122264.0,,-1508068.0
Chi phí lãi từ nội bộ,Chi phí lãi từ nội bộ,Chi phí lãi từ nội bộ,(94.671),(186.346),(3.844.794),4.125.811,-,-94671.0,-186346.0,-3844794.0,4125811.0,
2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(1.017),(4.198),(42.726),-,(47.941),-1017.0,-4198.0,-42726.0,,-47941.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(40.469),(72.370),(527.731),-,(640.570),-40469.0,-72370.0,-527731.0,,-640570.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,20.597,28.814,194.254,-,243.665,20597.0,28814.0,194254.0,,243665.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(12.997),(7.639),(71.393),-,(92.029),-12997.0,-7639.0,-71393.0,,-92029.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,7.600,21.175,122.861,-,151.636,7600.0,21175.0,122861.0,,151636.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,,,,,
III. Tài sản,Tại ngày 31 tháng 12 năm 2016 > III. Tài sản,III. Tài sản,1.229.338,2.368.065,26.853.605,-,30.451.008,1229338.0,2368065.0,26853605.0,,30451008.0
1. Tiền mặt,Tại ngày 31 tháng 12 năm 2016 > 1. Tiền mặt,1. Tiền mặt,40.567,38.488,219.991,-,299.046,40567.0,38488.0,219991.0,,299046.0
2. Tài sản cố định,Tại ngày 31 tháng 12 năm 2016 > 2. Tài sản cố định,2. Tài sản cố định,4.493,197.095,1.113.891,-,1.315.479,4493.0,197095.0,1113891.0,,1315479.0
3. Tài sản khác,Tại ngày 31 tháng 12 năm 2016 > 3. Tài sản khác,3. Tài sản khác,1.184.278,2.132.482,25.519.723,-,28.836.483,1184278.0,2132482.0,25519723.0,,28836483.0
IV. Nợ phải trả,Tại ngày 31 tháng 12 năm 2016 > IV. Nợ phải trả,IV. Nợ phải trả,2.696.007,3.500.489,20.890.626,-,27.087.122,2696007.0,3500489.0,20890626.0,,27087122.0
1. Nợ phải trả khách hàng bên ngoài,Tại ngày 31 tháng 12 năm 2016 > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,2.694.910,3.498.232,20.776.356,-,26.969.498,2694910.0,3498232.0,20776356.0,,26969498.0
3. Nợ phải trả khác,Tại ngày 31 tháng 12 năm 2016 > 3. Nợ phải trả khác,3. Nợ phải trả khác,1.097,2.257,114.270,-,117.624,1097.0,2257.0,114270.0,,117624.0
