row_label_raw,row_label_full,2015,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,679.115,50.472,3.333,732.920,679115.0,50472.0,3333.0,732920.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,68.360,2.522,49,70.931,68360.0,2522.0,49.0,70931.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(14.348),-,-,(14.348),-14348.0,,,-14348.0
Điều chỉnh,Nguyên giá > Điều chỉnh,Điều chỉnh,(7.728),-,-,(7.728),-7728.0,,,-7728.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(80.071),-,-,(80.071),-80071.0,,,-80071.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,645.328,52.994,3.382,701.704,645328.0,52994.0,3382.0,701704.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,2.853,17.440,953,21.246,2853.0,17440.0,953.0,21246.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,2.236,6.385,588,9.209,2236.0,6385.0,588.0,9209.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,(3.451),-,-,(3.451),-3451.0,,,-3451.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.638,23.825,1.541,27.004,1638.0,23825.0,1541.0,27004.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,676.262,33.032,2.380,711.674,676262.0,33032.0,2380.0,711674.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,643.690,29.169,1.841,674.700,643690.0,29169.0,1841.0,674700.0
