row_label_raw,row_label_full,2015,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sản cố địnhhữu hình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sản cố địnhhữu hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,153.691,62.788,68.036,14.418,9.723,308.656,153691.0,62788.0,68036.0,14418.0,9723.0,308656.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,13.200,23.945,17.606,191,-,54.942,13200.0,23945.0,17606.0,191.0,,54942.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,102.564,518,-,-,1.311,104.393,102564.0,518.0,,,1311.0,104393.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(837),(943),(2.099),-,(3.879),,-837.0,-943.0,-2099.0,,-3879.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,1.211,-,-,-,(1.211),-,1211.0,,,,-1211.0,
Điều chỉnh,Nguyên giá > Điều chỉnh,Điều chỉnh,(36),-,-,-,-,(36),-36.0,,,,,-36.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,270.630,86.414,84.699,12.510,9.823,464.076,270630.0,86414.0,84699.0,12510.0,9823.0,464076.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,10.034,25.567,19.287,6.659,688,62.235,10034.0,25567.0,19287.0,6659.0,688.0,62235.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.795,11.205,7.726,1.862,1.961,30.549,7795.0,11205.0,7726.0,1862.0,1961.0,30549.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(828),(526),(2.086),-,(3.440),,-828.0,-526.0,-2086.0,,-3440.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,109,-,-,-,(109),-,109.0,,,,-109.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,17.938,35.944,26.487,6.435,2.540,89.344,17938.0,35944.0,26487.0,6435.0,2540.0,89344.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,143.657,37.221,48.749,7.759,9.035,246.421,143657.0,37221.0,48749.0,7759.0,9035.0,246421.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,252.692,50.470,58.212,6.075,7.283,374.732,252692.0,50470.0,58212.0,6075.0,7283.0,374732.0
