row_label_raw,row_label_full,2015,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Miền Bắc Triệu VND,numeric__Miền Trung Triệu VND,numeric__Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,267.333,367.657,4.093.736,(2.592.348),2.136.378,267333.0,367657.0,4093736.0,-2592348.0,2136378.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,267.290,363.873,4.070.881,(2.592.348),2.109.696,267290.0,363873.0,4070881.0,-2592348.0,2109696.0
Doanh thu lãi khách hàng bên ngoài,Doanh thu lãi khách hàng bên ngoài,Doanh thu lãi khách hàng bên ngoài,84.566,163.325,1.861.805,-,2.109.696,84566.0,163325.0,1861805.0,,2109696.0
Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,182.724,200.548,2.209.076,(2.592.348),-,182724.0,200548.0,2209076.0,-2592348.0,
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,480,624,12.492,-,13.596,480.0,624.0,12492.0,,13596.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,(437),3.160,10.363,-,13.086,-437.0,3160.0,10363.0,,13086.0
II. Chi phí,II. Chi phí,II. Chi phí,(237.680),(334.285),(3.879.442),2.592.348,(1.859.059),-237680.0,-334285.0,-3879442.0,2592348.0,-1859059.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(199.742),(269.205),(3.410.537),2.592.348,(1.287.136),-199742.0,-269205.0,-3410537.0,2592348.0,-1287136.0
Chi phí lãi từ khách hàng bên ngoài,Chi phí lãi từ khách hàng bên ngoài,Chi phí lãi từ khách hàng bên ngoài,(160.581),(190.769),(935.786),-,(1.287.136),-160581.0,-190769.0,-935786.0,,-1287136.0
Chi phí lãi từ nội bộ,Chi phí lãi từ nội bộ,Chi phí lãi từ nội bộ,(39.161),(78.436),(2.474.751),2.592.348,-,-39161.0,-78436.0,-2474751.0,2592348.0,
2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(907),(3.444),(35.408),-,(39.759),-907.0,-3444.0,-35408.0,,-39759.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(37.031),(61.636),(433.497),-,(532.164),-37031.0,-61636.0,-433497.0,,-532164.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,29.653,33.372,214.294,-,277.319,29653.0,33372.0,214294.0,,277319.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(4.933),(8.822),(51.904),-,(65.659),-4933.0,-8822.0,-51904.0,,-65659.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,24.720,24.550,162.390,-,211.660,24720.0,24550.0,162390.0,,211660.0
Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,Tại ngày 31 tháng 12 năm 2015,,,,,
III. Tài sản,Tại ngày 31 tháng 12 năm 2015 > III. Tài sản,III. Tài sản,830.080,1.671.833,22.820.325,-,25.322.238,830080.0,1671833.0,22820325.0,,25322238.0
1. Tiền mặt,Tại ngày 31 tháng 12 năm 2015 > 1. Tiền mặt,1. Tiền mặt,27.998,26.994,151.926,-,206.918,27998.0,26994.0,151926.0,,206918.0
2. Tài sản cố định,Tại ngày 31 tháng 12 năm 2015 > 2. Tài sản cố định,2. Tài sản cố định,3.784,163.163,882.485,-,1.049.432,3784.0,163163.0,882485.0,,1049432.0
3. Tài sản khác,Tại ngày 31 tháng 12 năm 2015 > 3. Tài sản khác,3. Tài sản khác,798.298,1.481.676,21.785.914,-,24.065.888,798298.0,1481676.0,21785914.0,,24065888.0
IV. Nợ phải trả,Tại ngày 31 tháng 12 năm 2015 > IV. Nợ phải trả,IV. Nợ phải trả,2.456.221,2.996.180,16.496.490,-,21.948.891,2456221.0,2996180.0,16496490.0,,21948891.0
1. Nợ phải trả khách hàng bên ngoài,Tại ngày 31 tháng 12 năm 2015 > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,2.454.988,2.994.694,16.401.420,-,21.851.102,2454988.0,2994694.0,16401420.0,,21851102.0
3. Nợ phải trả khác,Tại ngày 31 tháng 12 năm 2015 > 3. Nợ phải trả khác,3. Nợ phải trả khác,1.233,1.486,95.070,-,97.789,1233.0,1486.0,95070.0,,97789.0
