row_label_raw,row_label_full,Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn:- Chứng khoán đầu tư giữ đến ngày đáohan khác,31/12/2016 > Giá trị ghi số Triệu VND > 587.209,31/12/2016 > Giá trị hợp lý Triệu VND > (*),31/12/2015 > Giá trị ghi số Triệu VND > 340.724,31/12/2015 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2016 > Giá trị ghi số Triệu VND > 587.209,numeric__31/12/2016 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2015 > Giá trị ghi số Triệu VND > 340.724,numeric__31/12/2015 > Giá trị hợp lý Triệu VND > (*)
Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN,901.778,901.778,721.384,721.384,901778.0,901778.0,721384.0,721384.0
- Tiền gửi và cho vay các tổ chức tín dụng khác,- Tiền gửi và cho vay các tổ chức tín dụng khác,- Tiền gửi và cho vay các tổ chức tín dụng khác,3.090.239,(*),1.772.866,(*),3090239.0,,1772866.0,
- Cho vay khách hàng,- Cho vay khách hàng,- Cho vay khách hàng,19.596.649,(*),16.080.186,(*),19596649.0,,16080186.0,
"- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",1.274.730,(*),1.129.732,(*),1274730.0,,1129732.0,
- Các khoản phải thu,- Các khoản phải thu,- Các khoản phải thu,127.060,(*),56.966,(*),127060.0,,56966.0,
Được phân loại là tài sản tài chính sẵn sàng để bán:- Chứng khoán vốn sẵn sàng để bán,Được phân loại là tài sản tài chính sẵn sàng để bán:- Chứng khoán vốn sẵn sàng để bán,Được phân loại là tài sản tài chính sẵn sàng để bán:- Chứng khoán vốn sẵn sàng để bán,524.750,(*),522.189,(*),524750.0,,522189.0,
- Chứng khoán nợ sẵn sàng để bán,- Chứng khoán nợ sẵn sàng để bán,- Chứng khoán nợ sẵn sàng để bán,1.811.165,(*),2.616.838,(*),1811165.0,,2616838.0,
• Có giá niêm yết,• Có giá niêm yết,• Có giá niêm yết,208.459,225.213,98.589,104.945,208459.0,225213.0,98589.0,104945.0
• Chưa có giá niêm yết,• Chưa có giá niêm yết,• Chưa có giá niêm yết,1.602.706,(*),2.518.249,(*),1602706.0,,2518249.0,
"- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn",14.521,(*),530.530,(*),14521.0,,530530.0,
Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:- Các khoản nợ NHNNVN,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:- Các khoản nợ NHNNVN,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:- Các khoản nợ NHNNVN,(200.928),(*),(312.218),(*),-200928.0,,-312218.0,
- Tiền gửi và vay các tổ chức tín dụng khác,- Tiền gửi và vay các tổ chức tín dụng khác,- Tiền gửi và vay các tổ chức tín dụng khác,(3.477.475),(*),(1.172.538),(*),-3477475.0,,-1172538.0,
- Tiền gửi của khách hàng,- Tiền gửi của khách hàng,- Tiền gửi của khách hàng,(22.889.160),(*),(20.080.836),(*),-22889160.0,,-20080836.0,
"- Các khoản lãi, phí phải trả","- Các khoản lãi, phí phải trả","- Các khoản lãi, phí phải trả",(401.935),(*),(284.955),(*),-401935.0,,-284955.0,
- Các khoản phải trả và công nợ khác,- Các khoản phải trả và công nợ khác,- Các khoản phải trả và công nợ khác,(88.151),(*),(42.397),(*),-88151.0,,-42397.0,
Được phân loại là nợ phải trả tài chính được xác địnhtheo giá trị hợp lý thông qua báo cáo kết quả hoạt động kinh doanh:- Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Được phân loại là nợ phải trả tài chính được xác địnhtheo giá trị hợp lý thông qua báo cáo kết quả hoạt động kinh doanh:- Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Được phân loại là nợ phải trả tài chính được xác địnhtheo giá trị hợp lý thông qua báo cáo kết quả hoạt động kinh doanh:- Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(555),(*),,,-555.0,
