row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Cổ phiếuquỹTriệu VND,Quỹ dự trữ bổ sungvốn điều lệTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Các quỹ khácTriệu VND,Lợi nhuận chưaphân phốiTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__Quỹ dự trữ bổ sungvốn điều lệTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Các quỹ khácTriệu VND,numeric__Lợi nhuận chưaphân phốiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,3.000.000,(34.200),68.904,147.017,3,182.383,3.364.107,3000000.0,-34200.0,68904.0,147017.0,3.0,182383.0,3364107.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,165.235,165.235,,,,,,165235.0,165235.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,8.796,17.592,-,(26.388),-,,,8796.0,17592.0,,-26388.0,
Chia cổ tức (Thuyết minh số 20),Chia cổ tức (Thuyết minh số 20),Chia cổ tức (Thuyết minh số 20),-,-,-,-,-,(148.100),(148.100),,,,,,-148100.0,-148100.0
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,(7.895),(7.895),,,,,,-7895.0,-7895.0
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,3.000.000,(34.200),77.700,164.609,3,165.235,3.373.347,3000000.0,-34200.0,77700.0,164609.0,3.0,165235.0,3373347.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,120.990,120.990,,,,,,120990.0,120990.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,8.262,16.522,-,(24.784),-,,,8262.0,16522.0,,-24784.0,
Chia cổ tức (Thuyết minh số 20),Chia cổ tức (Thuyết minh số 20),Chia cổ tức (Thuyết minh số 20),-,-,-,-,-,(118.480),(118.480),,,,,,-118480.0,-118480.0
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,(11.971),(11.971),,,,,,-11971.0,-11971.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,3.000.000,(34.200),85.962,181.131,3,130.990,3.363.886,3000000.0,-34200.0,85962.0,181131.0,3.0,130990.0,3363886.0
