row_label_raw,row_label_full,STT,Loại chi phí quản lý CTCK,Năm nay,Năm trước,numeric__Loại chi phí quản lý CTCK,numeric__Năm nay,numeric__Năm trước
1,1,1,Chi phí lương và khác khoản khác theo lương,38.629.584.726,30.686.828.047,,38629584726.0,30686828047.0
2,2,2,"BHXH, BHYT, KPCĐ, BHTN",2.555.186.750,2.187.576.950,,2555186750.0,2187576950.0
3,3,3,Chi phí đào tạo tuyển dụng,220.957.547,128.044.793,,220957547.0,128044793.0
4,4,4,Chi phí vật tư văn phòng,2.652.463.565,2.146.805.011,,2652463565.0,2146805011.0
5,5,5,"Chi phí công cụ, dụng cụ",,,,,
6,5 > 6,6,Chi phí khấu hao TSCĐ,12.744.175.445,10.332.958.559,,12744175445.0,10332958559.0
7,5 > 7,7,"Chi phí thuế, phí và lệ phí",31.263.505,18.769.068,,31263505.0,18769068.0
8,8,8,Chi phí dự phòng và hoàn nhập dự phòng,,,,,
9,8 > 9,9,Chi phí dịch vụ mua ngoài,18.526.211.746,13.676.572.565,,18526211746.0,13676572565.0
10,8 > 10,10,Chi phí khác,1.304.022.393,1.086.266.461,,1304022393.0,1086266461.0
,,,Cộng,76.663.865.677,60.263.821.454,,76663865677.0,60263821454.0
