row_label_raw,row_label_full,TT,Nội dung,Thông tin,numeric__Nội dung,numeric__Thông tin
1,1,1,Tên chứng khoán chào bán,Cổ phiếu Công ty cổ phần Chứng khoán FPT,,
2,2,2,Loại cổ phiếu,Cổ phiếu phổ thông,,
3,3,3,Mệnh giá,10.000 đồng/cổ phiếu,,
4,4,4,Tổng số lượng cổ phiếu đăng ký chào bán,14.756.729 cổ phiếu,,
5,5,5,Tổng khởi lượng vốn huy động dự kiến,147.567.290.000 đồng,,
6,6,6,Mục đích huy động vốn,Sử dụng để bổ sung vốn cho hoạt động cho nhà đầu tư vay giao dịch ký,,
7,7,7,Thời gian phát hành,Năm 2022,,
8,8,8,Ngày bắt đầu chào bán,02/08/2022,,
9,9,9,Ngày hoàn thành đợt chào bán,30/08/2022,,
10,10,10,Hình thức chào bán,Chào bán cho tất cả các cổ đông hiện hữu của Công ty cổ phần Chứng khoán FPT có tên trong danh sách Người sở hữu cổ phần tại ngày đăng ký cuối cùng ( ngày chốt danh sách ) do Trung tâm lưu ký chứng khoán Việt Nam cung cấp để thực hiện quyền mua.,,
