row_label_raw,row_label_full,STT,Loại chi phí,Năm nay,Năm trước,numeric__Loại chi phí,numeric__Năm nay,numeric__Năm trước
1,1,1,Chi phí nghiệp vụ môi giới chứng khoán,216.783.893.989,257.085.484.811,,216783893989.0,257085484811.0
2,2,2,"Chi phí nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",,,,,
3,2 > 3,3,Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,3.269.518.833,4.113.421.820,,3269518833.0,4113421820.0
4,2 > 4,4,Chi phí nghiệp vụ lưu ký chứng khoán,15.008.255.699,14.984.958.777,,15008255699.0,14984958777.0
5,2 > 5,5,Chi phí hoạt động tư vấn tài chính,12.950.654.332,10.866.980.754,,12950654332.0,10866980754.0
6,6,6,Chi phí các dịch vụ tài chính khác,,,,,
7,7,7,"Chi phí cho thuê, sử dụng tài sản",,,,,
8,8,8,"Chi phí trả hộ gốc, lãi trái phiếu cho Tổ chức phát hành",,,,,
9,9,9,Chi phí dịch vụ khác,,,,,
10,9 > 10,10,"Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm tài sản tài chính và chi phí đi vay của các khoản cho vay",86.525.412.508,61.272.052.054,,86525412508.0,61272052054.0
Công,9 > Công,Công,Công,334.537.735.361,348.322.898.216,,334537735361.0,348322898216.0
