row_label_raw,row_label_full,"A.7.23. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
"A.7.23. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn","A.7.23. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn","A.7.23. Phải trả cổ tức, gốc và lãi trái phiếu- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",3.871.312.500,4.241.277.000,3871312500.0,4241277000.0
Công,Công,Công,3.871.312.500,4.241.277.000,3871312500.0,4241277000.0
A.7.24. Thuế và các khoản phải nộp Nhà nước,A.7.24. Thuế và các khoản phải nộp Nhà nước,A.7.24. Thuế và các khoản phải nộp Nhà nước,Số cuối năm,Số đầu năm,,
- Thuế Thu nhập doanh nghiệp,A.7.24. Thuế và các khoản phải nộp Nhà nước > - Thuế Thu nhập doanh nghiệp,- Thuế Thu nhập doanh nghiệp,19.676.880.180,44.315.199.721,19676880180.0,44315199721.0
- Thuế Thu nhập cá nhân,A.7.24. Thuế và các khoản phải nộp Nhà nước > - Thuế Thu nhập cá nhân,- Thuế Thu nhập cá nhân,20.947.035.166,29.708.579.639,20947035166.0,29708579639.0
- Các loại thuế khác,A.7.24. Thuế và các khoản phải nộp Nhà nước > - Các loại thuế khác,- Các loại thuế khác,2.418.708.781,1.280.184.010,2418708781.0,1280184010.0
Công,A.7.24. Thuế và các khoản phải nộp Nhà nước > Công,Công,43.042.624.127,75.303.963.370,43042624127.0,75303963370.0
A.7.25. Chi phí phải trả,A.7.25. Chi phí phải trả,A.7.25. Chi phí phải trả,Số cuối năm,Số đầu năm,,
"Phí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản, lãi vay cho giao dịch ký quỹ","A.7.25. Chi phí phải trả > Phí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản, lãi vay cho giao dịch ký quỹ","Phí GDCK, phí lưu ký và chuyển khoản, phí đại lý mở tài khoản, lãi vay cho giao dịch ký quỹ",11.149.425.550,15.171.947.474,11149425550.0,15171947474.0
Công,A.7.25. Chi phí phải trả > Công,Công,11.149.425.550,15.171.947.474,11149425550.0,15171947474.0
A.7.26. Phải trả người bán,A.7.26. Phải trả người bán,A.7.26. Phải trả người bán,Số cuối năm,Số đầu năm,,
Công ty TNHH Dịch vụ tin học FPT,A.7.26. Phải trả người bán > Công ty TNHH Dịch vụ tin học FPT,Công ty TNHH Dịch vụ tin học FPT,575.886.130,2.309.794.300,575886130.0,2309794300.0
Công ty TNHH Hệ thống thông tin FPT,A.7.26. Phải trả người bán > Công ty TNHH Hệ thống thông tin FPT,Công ty TNHH Hệ thống thông tin FPT,332.688.092,123.830.000,332688092.0,123830000.0
Công ty Cổ phần Xây dựng P.E.N.T.H.O.U.S.E,A.7.26. Phải trả người bán > Công ty Cổ phần Xây dựng P.E.N.T.H.O.U.S.E,Công ty Cổ phần Xây dựng P.E.N.T.H.O.U.S.E,135.000.000,135.000.000,135000000.0,135000000.0
Tổng Công ty Đầu tư tài chính Hà Thành,A.7.26. Phải trả người bán > Tổng Công ty Đầu tư tài chính Hà Thành,Tổng Công ty Đầu tư tài chính Hà Thành,59.966.040,262.400.983,59966040.0,262400983.0
Công ty TNHH Truyền Thông Sài Gòn HD,A.7.26. Phải trả người bán > Công ty TNHH Truyền Thông Sài Gòn HD,Công ty TNHH Truyền Thông Sài Gòn HD,12.960.000,,12960000.0,
Công ty CP Truyền Thông Tổng Hợp 24,A.7.26. Phải trả người bán > Công ty CP Truyền Thông Tổng Hợp 24,Công ty CP Truyền Thông Tổng Hợp 24,12.960.000,,12960000.0,
Công ty TNHH Vận Tài Công Nghệ Mai Linh Hà Nội,A.7.26. Phải trả người bán > Công ty TNHH Vận Tài Công Nghệ Mai Linh Hà Nội,Công ty TNHH Vận Tài Công Nghệ Mai Linh Hà Nội,5.208.000,,5208000.0,
Công ty Cổ Phần DV Công Nghệ TSC VN,A.7.26. Phải trả người bán > Công ty Cổ Phần DV Công Nghệ TSC VN,Công ty Cổ Phần DV Công Nghệ TSC VN,4.320.000,157.883.000,4320000.0,157883000.0
Công ty TNHH Dũng Nguyễn,A.7.26. Phải trả người bán > Công ty TNHH Dũng Nguyễn,Công ty TNHH Dũng Nguyễn,,262.979.200,,262979200.0
Công ty Cổ phần Thương Mại Quốc Tế Mundo,A.7.26. Phải trả người bán > Công ty Cổ phần Thương Mại Quốc Tế Mundo,Công ty Cổ phần Thương Mại Quốc Tế Mundo,,19.600.020,,19600020.0
Công ty TNHH Schneider Electric IT Việt Nam,A.7.26. Phải trả người bán > Công ty TNHH Schneider Electric IT Việt Nam,Công ty TNHH Schneider Electric IT Việt Nam,,746.186.938,,746186938.0
Công,A.7.26. Phải trả người bán > Công,Công,1.138.988.262,4.017.674.441,1138988262.0,4017674441.0
"A.7.27. Phải trả, phải nộp khác","A.7.27. Phải trả, phải nộp khác","A.7.27. Phải trả, phải nộp khác",Số cuối năm,Số đầu năm,,
- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn,"A.7.27. Phải trả, phải nộp khác > - Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn",- Phải trả cổ tức cho cổ đông hoặc lợi nhuận cho thành viên góp vốn,3.871.312.500,4.241.277.000,3871312500.0,4241277000.0
- Phải trả các Ngân hàng (đặt cọc thực hiện hợp đồng môi giới trái phiếu Chính phủ và các chứng chỉ tiền gửi),"A.7.27. Phải trả, phải nộp khác > - Phải trả các Ngân hàng (đặt cọc thực hiện hợp đồng môi giới trái phiếu Chính phủ và các chứng chỉ tiền gửi)",- Phải trả các Ngân hàng (đặt cọc thực hiện hợp đồng môi giới trái phiếu Chính phủ và các chứng chỉ tiền gửi),500.000.000.000,5.350.000.000.000,500000000000.0,5350000000000.0
