row_label_raw,row_label_full,STT,Các bên liên quan,Mối quan hệ,Nội dung giao dịch,Số tiền > Năm nay,Số tiền > Năm trước,numeric__Các bên liên quan,numeric__Mối quan hệ,numeric__Nội dung giao dịch,numeric__Số tiền > Năm nay,numeric__Số tiền > Năm trước
1,1,1,"SBI Financial Services Co., Ltd",Cổ đông lớn,"Phí lưu kí, Phí chuyển tiền, Phí rút chứng khoán",9.510.693,,,,,9510693.0,
2,2,2,Công ty cổ phần FPT,Cổ đông lớn,"Phí lưu ký, Dịch vụ trả hộ cổ tức; Tư vấn công bố thông tin, VPP",82.480.371,339.110.930,,,,82480371.0,339110930.0
3,3,3,Công ty TNHH Hệ thống thông tin FPT,Bên có liên quan,"Token, Phần mềm, Thiết bị mạng, DV bảo hành",3.005.077.300,4.500.565.462,,,,3005077300.0,4500565462.0
