row_label_raw,row_label_full,Tên đơn vị,Mối quan hệ,numeric__Mối quan hệ
"SBI Financial Services Co., Ltd","SBI Financial Services Co., Ltd","SBI Financial Services Co., Ltd",Cổ đông lớn,
Công ty Cổ Phần FPT,Công ty Cổ Phần FPT,Công ty Cổ Phần FPT,Cổ đông lớn,
Công ty TNHH Hệ thống thông tin FPT,Công ty TNHH Hệ thống thông tin FPT,Công ty TNHH Hệ thống thông tin FPT,Người có liên quan của người nội bộ Đỗ Sơn Giang,
"Hội đồng quản trị, Ủy ban kiểm toán, Ban Tổng Giám đốc, Kế toán trường, Người được ủy quyền công bố thông tin","Hội đồng quản trị, Ủy ban kiểm toán, Ban Tổng Giám đốc, Kế toán trường, Người được ủy quyền công bố thông tin","Hội đồng quản trị, Ủy ban kiểm toán, Ban Tổng Giám đốc, Kế toán trường, Người được ủy quyền công bố thông tin",Ban điều hành và các nhân sự chủ chốt,
