row_label_raw,row_label_full,A. 7.4. Dự phòng suy giảm giá trị tài sản tài chính và tài sản nhận thế chấp,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Dự phòng giảm giá tài sản tài chính,Dự phòng giảm giá tài sản tài chính,Dự phòng giảm giá tài sản tài chính,(10.885.616.176),(10.885.622.304),-10885616176.0,-10885622304.0
Dự phòng suy giảm - Cho vay hoạt động ký quỹ,Dự phòng suy giảm - Cho vay hoạt động ký quỹ,Dự phòng suy giảm - Cho vay hoạt động ký quỹ,(10.885.616.176),(10.885.622.304),-10885616176.0,-10885622304.0
Cộng,Cộng,Cộng,,,,
A. 7.5. Các khoản phải thu,A. 7.5. Các khoản phải thu,A. 7.5. Các khoản phải thu,Số cuối năm,Số đầu năm,,
"A. 7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư","A. 7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư","A. 7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư",,,,
- Phải thu tiền lãi - giao dịch ứng trước tiền bán CK của nhà đầu tư,"A. 7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư > - Phải thu tiền lãi - giao dịch ứng trước tiền bán CK của nhà đầu tư",- Phải thu tiền lãi - giao dịch ứng trước tiền bán CK của nhà đầu tư,118.407.889,709.638.745,118407889.0,709638745.0
- Dự thu phí giao dịch ký quỹ và lãi các khoản tiền gửi có kỳ hạn,"A. 7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư > - Dự thu phí giao dịch ký quỹ và lãi các khoản tiền gửi có kỳ hạn",- Dự thu phí giao dịch ký quỹ và lãi các khoản tiền gửi có kỳ hạn,18.154.778.624,23.948.381.040,18154778624.0,23948381040.0
Cộng,"A. 7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư > Cộng",Cộng,18.273.186.513,24.658.019.785,18273186513.0,24658019785.0
A. 7.5.2. Phải thu các dịch vụ CTCK cung cấp,"A. 7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư > A. 7.5.2. Phải thu các dịch vụ CTCK cung cấp",A. 7.5.2. Phải thu các dịch vụ CTCK cung cấp,1.450.639.331,4.308.463.424,1450639331.0,4308463424.0
7.5.2.1 Phải thu phí môi giới chứng khoán qua các Sở GD,"A. 7.5.1. Các khoản phải thu và dự thu cổ tức, tiền lãi các khoản đầu tư > 7.5.2.1 Phải thu phí môi giới chứng khoán qua các Sở GD",7.5.2.1 Phải thu phí môi giới chứng khoán qua các Sở GD,594.174.180,2.629.871.884,594174180.0,2629871884.0
7.5.2.2 Phải thu phí môi giới chứng khoán không qua các Sở GD,7.5.2.2 Phải thu phí môi giới chứng khoán không qua các Sở GD,7.5.2.2 Phải thu phí môi giới chứng khoán không qua các Sở GD,,,,
7.5.2.3 Phải thu hoạt động tư vấn đầu tư CK,7.5.2.3 Phải thu hoạt động tư vấn đầu tư CK,7.5.2.3 Phải thu hoạt động tư vấn đầu tư CK,,,,
7.5.2.4 Phải thu hoạt động tư vấn khác,7.5.2.3 Phải thu hoạt động tư vấn đầu tư CK > 7.5.2.4 Phải thu hoạt động tư vấn khác,7.5.2.4 Phải thu hoạt động tư vấn khác,851.950.000,1.666.000.000,851950000.0,1666000000.0
7.5.2.5 Phải thu hoạt động lưu ký chứng khoán,7.5.2.5 Phải thu hoạt động lưu ký chứng khoán,7.5.2.5 Phải thu hoạt động lưu ký chứng khoán,,,,
7.5.2.6 Phải thu dịch vụ khác,7.5.2.5 Phải thu hoạt động lưu ký chứng khoán > 7.5.2.6 Phải thu dịch vụ khác,7.5.2.6 Phải thu dịch vụ khác,4.515.151,12.591.540,4515151.0,12591540.0
A. 7.5.3. Phải thu về lỗi giao dịch chứng khoán,A. 7.5.3. Phải thu về lỗi giao dịch chứng khoán,A. 7.5.3. Phải thu về lỗi giao dịch chứng khoán,,,,
A. 7.5.4. Phải thu khác,A. 7.5.3. Phải thu về lỗi giao dịch chứng khoán > A. 7.5.4. Phải thu khác,A. 7.5.4. Phải thu khác,1.855.792.732,2.532.441.695,1855792732.0,2532441695.0
