row_label_raw,row_label_full,Tài sân FVTPL,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
"Cô phiếu niêm yết, đăng ký GD","Cô phiếu niêm yết, đăng ký GD","Cô phiếu niêm yết, đăng ký GD",13.476.134.016,316.563.584.950,16.703.262.107,516.381.310.473,13476134016.0,316563584950.0,16703262107.0,516381310473.0
Cô phiếu chưa niêm yết,Cô phiếu chưa niêm yết,Cô phiếu chưa niêm yết,2.024.075.904,2.024.075.904,2.018.713.721,2.018.713.721,2024075904.0,2024075904.0,2018713721.0,2018713721.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,70.000.000.000,70.000.000.000,70.000.000.000,70.000.000.000,70000000000.0,70000000000.0,70000000000.0,70000000000.0
"Tiền gửi có kỳ hạn cố định, chứng chỉ tiền gửi","Tiền gửi có kỳ hạn cố định, chứng chỉ tiền gửi","Tiền gửi có kỳ hạn cố định, chứng chỉ tiền gửi",683.000.000.000,683.000.000.000,516.000.000.000,516.000.000.000,683000000000.0,683000000000.0,516000000000.0,516000000000.0
Công,Công,Công,768.500.209.920,1.071.587.660.854,604.721.975.828,1.104.400.024.194,768500209920.0,1071587660854.0,604721975828.0,1104400024194.0
