row_label_raw,row_label_full,Nội dung,Năm 2022 > ( Triệu đồng ),Năm 2021 > ( Triệu đồng ),Biến động (%),numeric__Năm 2022 > ( Triệu đồng ),numeric__Năm 2021 > ( Triệu đồng ),numeric__Biến động (%)
Doanh thu hoạt động và Doanh thu hoạt động tài chính,Doanh thu hoạt động và Doanh thu hoạt động tài chính,Doanh thu hoạt động và Doanh thu hoạt động tài chính,"851,608","1,387,621",-38.63%,851.608,,-38.63
Trong đóDoanh thu đã thực hiện,Trong đóDoanh thu đã thực hiện,Trong đóDoanh thu đã thực hiện,"1,048,228","1,131,981",-7.40%,,,-7.4
Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,"-196,620","255,640",-176.91%,-196.62,255.64,-176.91
Tổng chi phí,Tổng chi phí,Tổng chi phí,"411,967","408,808",0.77%,411.967,408.808,0.77
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,"441,530","981,382",-55.01%,441.53,981.382,-55.01
Trong đóLợi nhuận trước thuế đã thực hiện,Trong đóLợi nhuận trước thuế đã thực hiện,Trong đóLợi nhuận trước thuế đã thực hiện,"638,121","725,706",-12.07%,638.121,725.706,-12.07
Lợi nhuận trước thuế chưa thực hiện,Lợi nhuận trước thuế chưa thực hiện,Lợi nhuận trước thuế chưa thực hiện,"-196,591","255,676",,-196.591,255.676,
Thuế TNDN,Thuế TNDN,Thuế TNDN,"123,305","135,407",-8.94%,123.305,135.407,-8.94
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,"318,225","845,975",-62.38%,318.225,845.975,-62.38
Trong đóLợi nhuận sau thuế đã thực hiện,Trong đóLợi nhuận sau thuế đã thực hiện,Trong đóLợi nhuận sau thuế đã thực hiện,"514,816","590,299",-12.79%,514.816,590.299,-12.79
Lợi nhuận sau thuế chưa thực hiện,Lợi nhuận sau thuế chưa thực hiện,Lợi nhuận sau thuế chưa thực hiện,"-196,591","255,676",,-196.591,255.676,
