row_label_raw,row_label_full,STT,Các loại tài sản tài chính,Số cuối năm > Giá mua,Số cuối năm > Giá trị thị trường hoặc giá trị hợp lý kỳ này,Số cuối năm > CL đánh giá kỳ này > Chênh lệch tăng,Số cuối năm > CL đánh giá kỳ này > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua,Số đầu năm > Giá trị thị trường hoặc giá trị hợp lý kỳ trước,Số đầu năm > CL đánh giá kỳ trước > Chênh lệch tăng,Số đầu năm > CL đánh giá kỳ trước > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Các loại tài sản tài chính,numeric__Số cuối năm > Giá mua,numeric__Số cuối năm > Giá trị thị trường hoặc giá trị hợp lý kỳ này,numeric__Số cuối năm > CL đánh giá kỳ này > Chênh lệch tăng,numeric__Số cuối năm > CL đánh giá kỳ này > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua,numeric__Số đầu năm > Giá trị thị trường hoặc giá trị hợp lý kỳ trước,numeric__Số đầu năm > CL đánh giá kỳ trước > Chênh lệch tăng,numeric__Số đầu năm > CL đánh giá kỳ trước > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
A,A,A,B,1,2,3=(2-1),4=(1-2),5=(1+3-4),6,7,8=(7-6),9=(6-7),10=(6+8-9),,1.0,2.0,,,,6.0,7.0,,,
I,I,I,FVTPL,,,,,,,,,,,,,,,,,,,,,
1,I > 1,1,Cổ phiếu,15.500.209.920,318.587.660.854,303.092.362.539,4.911.605,318.587.660.854,18.721.975.828,518.400.024.194,499.712.495.754,34.447.388,518.400.024.194,,15500209920.0,318587660854.0,303092362539.0,4911605.0,318587660854.0,18721975828.0,518400024194.0,499712495754.0,34447388.0,518400024194.0
1.1,I > 1.1,1.1,"Cổ phiếu niêm yết, đăng ký GD",13.476.134.016,316.563.584.950,303.092.362.539,4.911.605,316.563.584.950,16.703.262.107,516.381.310.473,499.712.495.754,34.447.388,516.381.310.473,,13476134016.0,316563584950.0,303092362539.0,4911605.0,316563584950.0,16703262107.0,516381310473.0,499712495754.0,34447388.0,516381310473.0
,,,MSH-Công ty cổ phần May Sống Hồng,13.454.983.050,316.538.310.000,303.083.326.950,,316.538.310.000,13.600.209.000,512.791.062.000,499.190.853.000,,512.791.062.000,,13454983050.0,316538310000.0,303083326950.0,,316538310000.0,13600209000.0,512791062000.0,499190853000.0,,512791062000.0
,,,Cổ phiếu niêm yết khác,21.150.966,25.274.950,9.035.589,4.911.605,25.274.950,3.103.053.107,3.590.248.473,521.642.754,34.447.388,3.590.248.473,,21150966.0,25274950.0,9035589.0,4911605.0,25274950.0,3103053107.0,3590248473.0,521642754.0,34447388.0,3590248473.0
1.2,I > 1.2,1.2,Cổ phiếu chưa niêm yết,2.024.075.904,2.024.075.904,,,2.024.075.904,2.018.713.721,2.018.713.721,,,2.018.713.721,,2024075904.0,2024075904.0,,,2024075904.0,2018713721.0,2018713721.0,,,2018713721.0
,,,CIC8 - CTCP đầu tư xây dựng số 8,2.000.000.000,2.000.000.000,,,2.000.000.000,2.000.000.000,2.000.000.000,,,2.000.000.000,,2000000000.0,2000000000.0,,,2000000000.0,2000000000.0,2000000000.0,,,2000000000.0
,,,Cổ phiếu chưa niêm yết khác,24.075.904,24.075.904,,,24.075.904,18.713.721,18.713.721,,,18.713.721,,24075904.0,24075904.0,,,24075904.0,18713721.0,18713721.0,,,18713721.0
2,I > 2,2,Trái phiếu,70.000.000.000,70.000.000.000,,,70.000.000.000,70.000.000.000,70.000.000.000,,,70.000.000.000,,70000000000.0,70000000000.0,,,70000000000.0,70000000000.0,70000000000.0,,,70000000000.0
,,,CTG2028T2/02-Trái phiếu Ngân hàng TMCP Công thương Việt Nam,50.000.000.000,50.000.000.000,,,50.000.000.000,50.000.000.000,50.000.000.000,,,50.000.000.000,,50000000000.0,50000000000.0,,,50000000000.0,50000000000.0,50000000000.0,,,50000000000.0
,,,CTG2030T2/01-Trái Phiêu Ngân hàng TMCP Công Thương Việt Nam,20.000.000.000,20.000.000.000,,,20.000.000.000,20.000.000.000,20.000.000.000,,,20.000.000.000,,20000000000.0,20000000000.0,,,20000000000.0,20000000000.0,20000000000.0,,,20000000000.0
3,I > 3,3,"Tiền gửi có kỳ hạn cố định, chứng chỉ tiên gửi",683.000.000.000,683.000.000.000,,,683.000.000.000,516.000.000.000,516.000.000.000,,,516.000.000.000,,683000000000.0,683000000000.0,,,683000000000.0,516000000000.0,516000000000.0,,,516000000000.0
4,4,4,Chứng quyền,,,,,,,,,,,,,,,,,,,,,
II,II,II,AFS,,,,,,,,,,,,,,,,,,,,,
,,,Công,768.500.209.920,1.071.587.660.854,303.092.362.539,4.911.605,1.071.587.660.854,604.721.975.828,1.104.400.024.194,499.712.495.754,34.447.388,1.104.400.024.194,,768500209920.0,1071587660854.0,303092362539.0,4911605.0,1071587660854.0,604721975828.0,1104400024194.0,499712495754.0,34447388.0,1104400024194.0
