row_label_raw,row_label_full,Khoản cho vay và phải thu,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cho vay hoạt động ký quỹ,Cho vay hoạt động ký quỹ,Cho vay hoạt động ký quỹ,3.461.017.594.892,3.450.131.978.716,5.007.231.899.294,4.996.346.276.990,3461017594892.0,3450131978716.0,5007231899294.0,4996346276990.0
Cho vay nghiệp vụ ứng trước,Cho vay nghiệp vụ ứng trước,Cho vay nghiệp vụ ứng trước,274.507.459.557,274.507.459.557,1.246.417.686.632,1.246.417.686.632,274507459557.0,274507459557.0,1246417686632.0,1246417686632.0
Cho vay hoạt động giao dịch chứng khoán phải sinh,Cho vay hoạt động giao dịch chứng khoán phải sinh,Cho vay hoạt động giao dịch chứng khoán phải sinh,48.898.722,48.898.722,789.602.682,789.602.682,48898722.0,48898722.0,789602682.0,789602682.0
Cộng các khoản cho vay,Cộng các khoản cho vay,Cộng các khoản cho vay,3.735.573.953.171,3.724.688.336.995,6.254.439.188.608,6.243.553.566.304,3735573953171.0,3724688336995.0,6254439188608.0,6243553566304.0
