row_label_raw,row_label_full,TT,Nội dung,Thông tin,numeric__Nội dung,numeric__Thông tin
1,1,1,Tên chứng khoán chào bán,Cổ phiếu Công ty cổ phần Chứng khoán FPT,,
2,2,2,Loại cổ phiếu,Cổ phiếu phố thông,,
3,3,3,Mệnh giá,10.000 đồng/cổ phiếu,,
4,4,4,Tổng số lượng cổ phiếu đăng ký chào,3.224.017 cổ phiếu,,
5,5,5,Tổng khối lượng vốn huy động dự kiến theo mênh giá,32.240.170.000 đồng,,
6,6,6,Mục đích huy động vốn,Sử dụng để bổ sung vốn cho hoạt động cho nhà đầu tư vay giao dịch ký quỹ,,
7,7,7,Thời gian phát hành,Năm 2022,,
8,8,8,Ngày bắt đầu chào bán,08/08/2022,,
9,9,9,Ngày hoàn thành đợt chào bán,23/08/2022,,
10,10,10,Hình thức chào bán,Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động trong công tv.,,
