row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2025,Đơn vị tính: VND01/01/2025(Trình bày lại),numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025,numeric__Đơn vị tính: VND01/01/2025(Trình bày lại)
C,C,C,NỘ PHẢI TRẢ,300,,2.288.400.405.019,2.688.938.273.503,,300.0,,2288400405019.0,2688938273503.0
I,I,I,Nợ ngắn hạn,310,,1.647.045.334.718,2.009.711.321.646,,310.0,,1647045334718.0,2009711321646.0
1,1,1,Phải trả người bán ngắn hạn,311,V.15.,225.473.320.104,219.743.590.675,,311.0,,225473320104.0,219743590675.0
2,2,2,Người mua trả tiền trước ngắn hạn,312,V.16.,519.214.733.756,812.074.247.812,,312.0,,519214733756.0,812074247812.0
3,3,3,Thuế và các khoản phải nộp Nhà nước,313,V.17.,49.751.824.726,99.961.576.903,,313.0,,49751824726.0,99961576903.0
4,4,4,Phải trả người lao động,314,,24.975.037.482,10.710.797.932,,314.0,,24975037482.0,10710797932.0
5,5,5,Chi phí phải trả ngắn hạn,315,V.18.,282.459.133.153,254.570.286.785,,315.0,,282459133153.0,254570286785.0
6,6,6,Doanh thu chưa thực hiện ngắn hạn,318,V.19.,28.556.465.352,3.864.449.931,,318.0,,28556465352.0,3864449931.0
7,7,7,Phải trả ngắn hạn khác,319,V.20.,343.547.209.675,298.687.326.643,,319.0,,343547209675.0,298687326643.0
8,8,8,Vay và nợ thuê tài chính ngắn hạn,320,V.22.,92.983.068.697,193.352.954.059,,320.0,,92983068697.0,193352954059.0
9,9,9,"Quỹ khen thưởng, phúc lợi",322,,80.084.541.773,116.746.090.906,,322.0,,80084541773.0,116746090906.0
II,II,II,Nợ dài hạn,330,,641.355.070.301,679.226.951.857,,330.0,,641355070301.0,679226951857.0
1,1,1,Chi phí phải trả dài hạn,333,V.18.,81.274.252.031,82.348.053.565,,333.0,,81274252031.0,82348053565.0
2,2,2,Doanh thu chưa thực hiện dài hạn,336,V.19.,116.283.984.456,162.755.029.987,,336.0,,116283984456.0,162755029987.0
3,3,3,Phải trả dài hạn khác,337,V.20.,37.437.847.259,36.861.340.756,,337.0,,37437847259.0,36861340756.0
4,4,4,Vay và nợ thuê tài chính dài hạn,338,V.22.,342.857.351.936,334.970.759.139,,338.0,,342857351936.0,334970759139.0
5,5,5,Thuế thu nhập hoãn lại phải trả,341,V.21.,63.501.634.619,62.291.768.410,,341.0,,63501634619.0,62291768410.0
D,D,D,VỐN CHỦ SỞ HỮU,400,,6.441.657.830.214,6.268.645.196.301,,400.0,,6441657830214.0,6268645196301.0
I,I,I,Vốn chủ sở hữu,410,V.23.,6.441.657.830.214,6.268.645.196.301,,410.0,,6441657830214.0,6268645196301.0
1,1,1,Vốn góp của chủ sở hữu,411,,5.674.160.750.000,5.404.064.320.000,,411.0,,5674160750000.0,5404064320000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,5.674.160.750.000,5.404.064.320.000,,,,5674160750000.0,5404064320000.0
2,2,2,Thặng dư vốn cổ phần,412,,(433.150.000),(433.150.000),,412.0,,-433150000.0,-433150000.0
3,3,3,Quỹ đầu tư phát triển,418,,243.967.519.433,230.900.226.386,,418.0,,243967519433.0,230900226386.0
4,4,4,Lợi nhuận sau thuế chưa phân phối,421,,291.855.108.812,428.075.106.097,,421.0,,291855108812.0,428075106097.0
,,,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,114.573.299.459,237.921.377.796,,,,114573299459.0,237921377796.0
,,,- LNST chưa phân phối năm nay,421b,,177.281.809.353,190.153.728.301,,,,177281809353.0,190153728301.0
5,5,5,Lợi ích cổ đông không kiểm soát,429,,232.107.601.969,206.038.693.818,,429.0,,232107601969.0,206038693818.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,8.730.058.235.233,8.957.583.469.804,,440.0,,8730058235233.0,8957583469804.0
