row_label_raw,row_label_full,col_0,col_1,Năm 2025VND,Năm 2024VND,numeric__col_1,numeric__Năm 2025VND,numeric__Năm 2024VND
1.,1.,1.,Các giao dịch không bằng tiền ảnh hưởng đến báo cáo lưu chuyển tiền tệ trong tương lai,,,,,
1.,1. > 1.,1.,Lãi vay nhập gốc,221.605.384,6.576.271.281,,221605384.0,6576271281.0
1.,1. > 1.,1.,Trả cổ tức bằng cổ phiếu,270.096.430.000,257.276.720.000,,270096430000.0,257276720000.0
2.,2.,2.,Số tiền đi vay thực thu trong năm,,,,,
2.,2. > 2.,2.,Tiền thu từ di vay theo khế ước thông thường,306.316.698.213,519.351.641.617,,306316698213.0,519351641617.0
3.,3.,3.,Số tiền đã thực trả gốc vay trong năm,,,,,
3.,3. > 3.,3.,Tiền trả nợ gốc vay theo khế ước thông thường,399.021.596.162,819.377.004.343,,399021596162.0,819377004343.0
