row_label_raw,row_label_full,col_0,Kinh doanhchuyển nhượngbất động sản,Kinh doanh cho thuếbất động sản đầutur và các dịchvụ liên quan,Kinh doanhdịch vụ kháchsạn và các dịchvụ liên quan,Hoạt độngxây lắp,Hoạt độngkinh doanhkhác,Điều chỉnh vàloại trừ,Đơn vị tính: VNDTổng cộng,numeric__Kinh doanhchuyển nhượngbất động sản,numeric__Kinh doanh cho thuếbất động sản đầutur và các dịchvụ liên quan,numeric__Kinh doanhdịch vụ kháchsạn và các dịchvụ liên quan,numeric__Hoạt độngxây lắp,numeric__Hoạt độngkinh doanhkhác,numeric__Điều chỉnh vàloại trừ,numeric__Đơn vị tính: VNDTổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,361.547.727.516,53.532.329.215,880.099.215.180,3.480.983.670,40.002.633.815,-,1.338.662.889.396,361547727516.0,53532329215.0,880099215180.0,3480983670.0,40002633815.0,,1338662889396.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,17.718.247.083,13.255.225.373,362.719.189.394,86.269.904.694,(479.962.566.544),-,,17718247083.0,13255225373.0,362719189394.0,86269904694.0,-479962566544.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,361.547.727.516,71.250.576.298,893.354.440.553,366.200.173.064,126.272.538.509,(479.962.566.544),1.338.662.889.396,361547727516.0,71250576298.0,893354440553.0,366200173064.0,126272538509.0,-479962566544.0,1338662889396.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,,,,,,,
Khấu hao và hao mòn (bao gồmlợi thế thương mại),Kết quả kinh doanh > Khấu hao và hao mòn (bao gồmlợi thế thương mại),Khấu hao và hao mòn (bao gồmlợi thế thương mại),7.635.571.415,8.648.153.700,72.635.500.343,3.961.952.855,6.752.953.204,16.988.817.528,116.622.949.045,7635571415.0,8648153700.0,72635500343.0,3961952855.0,6752953204.0,16988817528.0,116622949045.0
Thu nhập/(lỗ) thuần trước thuếtheo bộ phận,Kết quả kinh doanh > Thu nhập/(lỗ) thuần trước thuếtheo bộ phận,Thu nhập/(lỗ) thuần trước thuếtheo bộ phận,82.871.567.315,(4.700.684.697),199.862.410.269,(478.522.737),(54.079.683.297),(20.658.432.009),202.816.654.844,82871567315.0,-4700684697.0,199862410269.0,-478522737.0,-54079683297.0,-20658432009.0,202816654844.0
Thu nhập thuần không phân bổ,Kết quả kinh doanh > Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,25.177.896.681,,,,,,,25177896681.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản theo bộ phận,Tài sản và công nợ > Tài sản theo bộ phận,Tài sản theo bộ phận,3.102.316.740.792,856.205.394.159,2.371.101.331.932,388.277.167.338,788.250.778.395,(456.909.757.164),7.049.241.655.451,3102316740792.0,856205394159.0,2371101331932.0,388277167338.0,788250778395.0,-456909757164.0,7049241655451.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,1.680.816.579.782,,,,,,,1680816579782.0
Tổng nợ phải trả theo bộ phận,Tài sản và công nợ > Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,814.988.925.027,171.435.873.595,721.911.763.527,191.085.224.846,140.725.525.951,(380.925.329.678),1.659.221.983.268,814988925027.0,171435873595.0,721911763527.0,191085224846.0,140725525951.0,-380925329678.0,1659221983268.0
Tổng nợ phải trả không phân bổ,Tài sản và công nợ > Tổng nợ phải trả không phân bổ,Tổng nợ phải trả không phân bổ,,,,,,,629.178.421.751,,,,,,,629178421751.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,,
Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,Các thông tin bộ phận khác > Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,194.446.664.312,5.876.226.683,89.167.859.998,130.000.000,2.245.222.917,(8.081.244.035),283.784.729.875,194446664312.0,5876226683.0,89167859998.0,130000000.0,2245222917.0,-8081244035.0,283784729875.0
