row_label_raw,row_label_full,Công ty CP Trường An Phú Quốc,29.700.000.000,12.210.000.000,9.900.000.000,6.270.000.000,numeric__29.700.000.000,numeric__12.210.000.000,numeric__9.900.000.000,numeric__6.270.000.000
Công ty TNHH Thương Mại và Kinh doanh Nguyễn Gia,Công ty TNHH Thương Mại và Kinh doanh Nguyễn Gia,Công ty TNHH Thương Mại và Kinh doanh Nguyễn Gia,16.500.000.000,4.950.000.000,13.200.000.000,7.920.000.000,16500000000.0,4950000000.0,13200000000.0,7920000000.0
Công ty CP Khách sạn An Thịnh Phát,Công ty CP Khách sạn An Thịnh Phát,Công ty CP Khách sạn An Thịnh Phát,14.240.940.000,-,14.240.940.000,-,14240940000.0,,14240940000.0,
Công ty CP Phát triển Phú Gia Việt Nam,Công ty CP Phát triển Phú Gia Việt Nam,Công ty CP Phát triển Phú Gia Việt Nam,24.000.000.000,7.200.000.000,18.000.000.000,10.200.000.000,24000000000.0,7200000000.0,18000000000.0,10200000000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,73.160.999.580,23.790.989.804,21.891.253.701,43.000.000,73160999580.0,23790989804.0,21891253701.0,43000000.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,359.223.000,-,359.223.000,-,359223000.0,,359223000.0,
Công ty CP Tư vấn mỏ địa chất,Công ty CP Tư vấn mỏ địa chất,Công ty CP Tư vấn mỏ địa chất,340.000.000,-,340.000.000,-,340000000.0,,340000000.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,19.223.000,-,19.223.000,-,19223000.0,,19223000.0,
Phải thu khác,Phải thu khác,Phải thu khác,5.363.457.752,-,5.764.474.020,-,5363457752.0,,5764474020.0,
Công ty TNHH MTV Vật liệu xây dựng và Xây lắp thương mại BMC,Công ty TNHH MTV Vật liệu xây dựng và Xây lắp thương mại BMC,Công ty TNHH MTV Vật liệu xây dựng và Xây lắp thương mại BMC,5.100.000.000,-,5.100.000.000,-,5100000000.0,,5100000000.0,
Phạm Thủy Kiều,Phạm Thủy Kiều,Phạm Thủy Kiều,263.457.752,-,263.457.752,-,263457752.0,,263457752.0,
Phải thu khác,Phải thu khác,Phải thu khác,-,-,401.016.268,-,,,401016268.0,
Cộng,Cộng,Cộng,192.303.539.890,53.100.989.804,112.334.810.279,33.343.000.000,192303539890.0,53100989804.0,112334810279.0,33343000000.0
