row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2025,Đơn vị tính: VND Năm 2024,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025,numeric__Đơn vị tính: VND Năm 2024
I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,227.994.551.525,236.522.802.656,1.0,,227994551525.0,236522802656.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và Bất động sản đầu tư,2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ và Bất động sản đầu tư,- Khấu hao TSCĐ và Bất động sản đầu tư,02,,116.622.949.045,110.597.989.911,2.0,,116622949045.0,110597989911.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,,60.210.739.807,14.523.472.322,3.0,,60210739807.0,14523472322.0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","2. Điều chỉnh cho các khoản > - Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,(12.962.254),(100.936.500),4.0,,-12962254.0,-100936500.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,,(72.826.201.157),(85.250.560.895),5.0,,-72826201157.0,-85250560895.0
- Chi phí lãi vay,2. Điều chỉnh cho các khoản > - Chi phí lãi vay,- Chi phí lãi vay,06,,26.660.780.799,30.662.631.339,6.0,,26660780799.0,30662631339.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,358.649.857.765,306.955.398.833,8.0,,358649857765.0,306955398833.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,(61.385.886.522),99.344.255.221,9.0,,-61385886522.0,99344255221.0
"- Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,,(93.487.621.318),(100.856.679.097),10.0,,-93487621318.0,-100856679097.0
"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,(192.941.349.625),(302.108.202.329),11.0,,-192941349625.0,-302108202329.0
