row_label_raw,row_label_full,Dài hạn,37.437.847.259,36.861.340.756,numeric__37.437.847.259,numeric__36.861.340.756
"Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",32.437.847.259,31.861.340.756,32437847259.0,31861340756.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",5.000.000.000,5.000.000.000,5000000000.0,5000000000.0
Phải trả Công ty CP Senreal (4),Phải trả Công ty CP Senreal (4),Phải trả Công ty CP Senreal (4),5.000.000.000,5.000.000.000,5000000000.0,5000000000.0
