row_label_raw,row_label_full,Chi phí tài chính,Năm 2025VND,Năm 2024VND,numeric__Năm 2025VND,numeric__Năm 2024VND
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,26.660.780.799,30.662.631.339,26660780799.0,30662631339.0
Lỗ chênh lệch tỷ giá đánh giá lại cuối năm,Lỗ chênh lệch tỷ giá đánh giá lại cuối năm,Lỗ chênh lệch tỷ giá đánh giá lại cuối năm,-,7.854.146,,7854146.0
Lỗ chênh lệch tỷ giá phát sinh trong năm,Lỗ chênh lệch tỷ giá phát sinh trong năm,Lỗ chênh lệch tỷ giá phát sinh trong năm,404.192.681,-,404192681.0,
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,-,1.317.900.491,,1317900491.0
Cộng,Cộng,Cộng,27.064.973.480,31.988.385.976,27064973480.0,31988385976.0
