row_label_raw,row_label_full,Khoản mục,01/01/2025,Tăng trong năm,Giảm trong năm,Đơn vị tính: VND31/12/2025,numeric__01/01/2025,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Đơn vị tính: VND31/12/2025
Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,,,,
Nguyên giá,Bất động sản đầu tư cho thuê > Nguyên giá,Nguyên giá,735.401.626.634,-,-,735.401.626.634,735401626634.0,,,735401626634.0
- Quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,84.310.364.771,-,-,84.310.364.771,84310364771.0,,,84310364771.0
- Nhà cửa vật kiến trúc,Bất động sản đầu tư cho thuê > - Nhà cửa vật kiến trúc,- Nhà cửa vật kiến trúc,651.091.261.863,-,-,651.091.261.863,651091261863.0,,,651091261863.0
Giá trị hao mòn lũy kế,Bất động sản đầu tư cho thuê > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,133.486.942.671,16.928.959.008,-,150.415.901.679,133486942671.0,16928959008.0,,150415901679.0
- Quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,11.365.934.123,1.965.847.116,-,13.331.781.239,11365934123.0,1965847116.0,,13331781239.0
- Nhà cửa vật kiến trúc,Bất động sản đầu tư cho thuê > - Nhà cửa vật kiến trúc,- Nhà cửa vật kiến trúc,122.121.008.548,14.963.111.892,-,137.084.120.440,122121008548.0,14963111892.0,,137084120440.0
Giá trị còn lại (*),Bất động sản đầu tư cho thuê > Giá trị còn lại (*),Giá trị còn lại (*),601.914.683.963,,,584.985.724.955,601914683963.0,,,584985724955.0
- Quyền sử dụng đất,Bất động sản đầu tư cho thuê > - Quyền sử dụng đất,- Quyền sử dụng đất,72.944.430.648,,,70.978.583.532,72944430648.0,,,70978583532.0
- Nhà cửa vật kiến trúc,Bất động sản đầu tư cho thuê > - Nhà cửa vật kiến trúc,- Nhà cửa vật kiến trúc,528.970.253.315,,,514.007.141.423,528970253315.0,,,514007141423.0
