row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy vi tính,"Nhăn hiệu, tên thương mại","Bản quyền, bằng sáng chế",TSCĐ khác,Đơn vị tính: VND Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,"numeric__Nhăn hiệu, tên thương mại","numeric__Bản quyền, bằng sáng chế",numeric__TSCĐ khác,numeric__Đơn vị tính: VND Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư ngày 01/01/2025,Nguyên giá > Số dư ngày 01/01/2025,Số dư ngày 01/01/2025,47.211.516.460,23.527.947.888,267.227.596,208.518.000,121.546.300,71.336.756.244,47211516460.0,23527947888.0,267227596.0,208518000.0,121546300.0,71336756244.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,50.000.000,-,-,630.000.000,680.000.000,,50000000.0,,,630000000.0,680000000.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(72.808.000),-,-,-,(72.808.000),,-72808000.0,,,,-72808000.0
Số dư ngày 31/12/2025,Nguyên giá > Số dư ngày 31/12/2025,Số dư ngày 31/12/2025,47.211.516.460,23.505.139.888,267.227.596,208.518.000,751.546.300,71.943.948.244,47211516460.0,23505139888.0,267227596.0,208518000.0,751546300.0,71943948244.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư ngày 01/01/2025,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2025,Số dư ngày 01/01/2025,6.280.523.848,18.865.852.427,267.227.596,208.518.000,10.147.988,25.632.269.859,6280523848.0,18865852427.0,267227596.0,208518000.0,10147988.0,25632269859.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,951.160.056,1.005.805.816,-,-,339.309.264,2.296.275.136,951160056.0,1005805816.0,,,339309264.0,2296275136.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,-,(16.081.692),-,-,-,(16.081.692),,-16081692.0,,,,-16081692.0
Số dư ngày 31/12/2025,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2025,Số dư ngày 31/12/2025,7.231.683.904,19.855.576.551,267.227.596,208.518.000,349.457.252,27.912.463.303,7231683904.0,19855576551.0,267227596.0,208518000.0,349457252.0,27912463303.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 01/01/2025,Giá trị còn lại > Tại ngày 01/01/2025,Tại ngày 01/01/2025,40.930.992.612,4.662.095.461,-,-,111.398.312,45.704.486.385,40930992612.0,4662095461.0,,,111398312.0,45704486385.0
Tại ngày 31/12/2025,Giá trị còn lại > Tại ngày 31/12/2025,Tại ngày 31/12/2025,39.979.832.556,3.649.563.337,-,-,402.089.048,44.031.484.941,39979832556.0,3649563337.0,,,402089048.0,44031484941.0
