row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Mã số,Thuyết minh,Năm 2025,Đơn vị tính: VND Năm 2024,numeric__Chỉ tiêu_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025,numeric__Đơn vị tính: VND Năm 2024
1,1,1,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1.,1.338.663.418.497,1.307.939.076.396,,1.0,,1338663418497.0,1307939076396.0
2,2,2,Các khoản giảm trừ doanh thu,02,VI.2.,529.101,2.862.753,,2.0,,529101.0,2862753.0
3,3,3,Doanh thu thuần bán hàng và cung cấp dịch vụ (10=01-02),10,,1.338.662.889.396,1.307.936.213.643,,10.0,,1338662889396.0,1307936213643.0
4,4,4,Giá vốn hàng bán,11,VI.3.,921.910.971.237,957.030.706.453,,11.0,,921910971237.0,957030706453.0
5,5,5,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,416.751.918.159,350.905.507.190,,20.0,,416751918159.0,350905507190.0
6,6,6,Doanh thu hoạt động tài chính,21,VI.4.,76.251.711.792,84.055.087.529,,21.0,,76251711792.0,84055087529.0
7,7,7,Chi phí tài chính,22,VI.5.,27.064.973.480,31.988.385.976,,22.0,,27064973480.0,31988385976.0
,,,Trong đó: Chi phí lãi vay,23,,26.660.780.799,30.662.631.339,,23.0,,26660780799.0,30662631339.0
8,8,8,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,-,,24.0,,,
9,9,9,Chi phí bán hàng,25,VI.6.,46.476.212.895,68.973.060.496,,25.0,,46476212895.0,68973060496.0
10,10,10,Chi phí quản lý doanh nghiệp,26,VI.6.,167.459.050.420,97.631.272.825,,26.0,,167459050420.0,97631272825.0
11,11,11,Lợi nhuận thuần từ hoạt động kinh doanh {30=20+(21-22)+24-(25+26)},30,,252.003.393.156,236.367.875.422,,30.0,,252003393156.0,236367875422.0
12,12,12,Thu nhập khác,31,VI.7.,17.396.400.125,11.495.481.158,,31.0,,17396400125.0,11495481158.0
13,13,13,Chi phí khác,32,VI.8.,41.405.241.756,11.340.553.924,,32.0,,41405241756.0,11340553924.0
14,14,14,Lợi nhuận khác (40=31-32),40,,(24.008.841.631),154.927.234,,40.0,,-24008841631.0,154927234.0
15,15,15,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,227.994.551.525,236.522.802.656,,50.0,,227994551525.0,236522802656.0
16,16,16,Chi phí thuế TNDN hiện hành,51,VI.9.,42.697.511.806,67.943.608.241,,51.0,,42697511806.0,67943608241.0
17,17,17,Chi phí thuế TNDN hoãn lại,52,VI.10.,(20.664.992.025),2.618.224.189,,52.0,,-20664992025.0,2618224189.0
18,18,18,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,205.962.031.744,165.960.970.226,,60.0,,205962031744.0,165960970226.0
19,19,19,Lợi nhuận sau thuế của Công ty mẹ,61,,177.281.809.353,190.153.728.301,,61.0,,177281809353.0,190153728301.0
20,20,20,Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,28.680.222.391,(24.192.758.075),,62.0,,28680222391.0,-24192758075.0
21,21,21,Lãi cơ bản trên cổ phiếu,70,VI.12.,"323,80","307,42",,70.0,,323.8,307.42
