row_label_raw,row_label_full,Chỉ tiêu,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Đơn vị tính: VND Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Đơn vị tính: VND Cộng
A,A,A,1,2,2,3,4,5 =(1+2+3+4),1.0,2.0,2.0,3.0,4.0,
Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,Số dư tại ngày 01/01/2024,5.146.787.600.000,(433.150.000),218.184.054.374,557.444.608.896,280.416.732.358,6.202.399.845.628,5146787600000.0,-433150000.0,218184054374.0,557444608896.0,280416732358.0,6202399845628.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,257.276.720.000,-,-,(257.276.720.000),-,-,257276720000.0,,,-257276720000.0,,
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,190.153.728.301,-,190.153.728.301,,,,190153728301.0,,190153728301.0
Lỗ trong năm,Lỗ trong năm,Lỗ trong năm,-,-,-,-,(24.192.758.075),(24.192.758.075),,,,,-24192758075.0,-24192758075.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,19.924.897.468,(5.302.191.193),-,14.622.706.275,,,19924897468.0,-5302191193.0,,14622706275.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(10.604.382.386),-,(10.604.382.386),,,,-10604382386.0,,-10604382386.0
Tăng tỷ lệ sở hữu vào Công ty con,Tăng tỷ lệ sở hữu vào Công ty con,Tăng tỷ lệ sở hữu vào Công ty con,-,-,-,295.075.861,-,295.075.861,,,,295075861.0,,295075861.0
Thoái vốn tại Công ty con,Thoái vốn tại Công ty con,Thoái vốn tại Công ty con,-,-,-,-,(35.452.893.580),(35.452.893.580),,,,,-35452893580.0,-35452893580.0
Giảm khác,Giảm khác,Giảm khác,-,-,(7.208.725.456),-,-,(7.208.725.456),,,-7208725456.0,,,-7208725456.0
Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,-,-,-,(46.635.013.382),(14.732.386.885),(61.367.400.267),,,,-46635013382.0,-14732386885.0,-61367400267.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,5.404.064.320.000,(433.150.000),230.900.226.386,428.075.106.097,206.038.693.818,6.268.645.196.301,5404064320000.0,-433150000.0,230900226386.0,428075106097.0,206038693818.0,6268645196301.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),270.096.430.000,-,-,(270.096.430.000),-,-,270096430000.0,,,-270096430000.0,,
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,177.281.809.353,28.680.222.391,205.962.031.744,,,,177281809353.0,28680222391.0,205962031744.0
